"fiscal_year","is_above_line","org_id","est_doc","covid_measure_id","vote","stat"
2020,1,228,"SEC","COV083",32264906,-32264906
2020,1,228,"SEC","COV094",118674607,-118674607
2020,1,230,"SEB","COV010",5000000,
2020,1,230,"SEB","COV024",,153400000
2020,1,263,"SEB","COV051",74100000,
2020,1,263,"SEC","COV051",54100000,
2020,1,278,"SEA","COV023",48710504,791282
2020,1,278,"SEB","COV023",-33900000,
2020,1,278,"SEC","COV023",-10700000,
2020,1,280,"SEA","COV002",37200000,177068800
2020,1,280,"SEA","COV003",,1800000000
2020,1,280,"SEA","COV006",,74700000
2020,1,280,"SEA","COV010",5051228,200231982
2020,1,280,"SEA","COV037",,7500000
2020,1,280,"SEB","COV002",33982060,-33982060
2020,1,280,"SEB","COV004",2202874822,1847025178
2020,1,280,"SEB","COV006",16700000,-16700000
2020,1,280,"SEB","COV010",89150038,-101549187
2020,1,280,"SEB","COV023",10000000,
2020,1,280,"SEB","COV037",3299229,-3299229
2020,1,280,"SEB","COV079",320133334,622266666
2020,1,280,"SEB","COV082",6310158431,4683050497
2020,1,280,"SEB","COV088",8200000,600000
2020,1,280,"SEB","COV115",,1500000000
2020,1,280,"SEB","COV118",230761435,278038565
2020,1,280,"SEC","COV004",1722283700,-1722283700
2020,1,280,"SEC","COV010",84434710,-84434710
2020,1,280,"SEC","COV023",3000000,
2020,1,280,"SEC","COV079",522888313,-522888313
2020,1,280,"SEC","COV082",2325058110,-3030058110
2020,1,280,"SEC","COV088",571456,-600000
2020,1,280,"SEC","COV112",485109029,134205
2020,1,280,"SEC","COV113",208496863,18517524
2020,1,280,"SEC","COV118",225556596,-225556596
2020,1,280,"SEC","COV122",50000000,
2020,1,280,"SEC","COV124",6250000,
2020,1,135,"SEA","COV041",59320000,40680000
2020,1,135,"SEB","COV041",1220400,-1220400
2020,1,135,"SEC","COV041",35000000,
2020,1,135,"SEC","COV079",35000000,
2020,1,313,"SEC","COV079",7000000,
2020,1,288,"SEC","COV154",505015,39726
2020,1,305,"SEB","COV013",,1100000
2020,1,305,"SEB","COV024",,16000
2020,1,305,"SEB","COV086",,2400000
2020,1,305,"SEB","COV104",,9964000
2020,1,306,"SEB","COV024",,50700000
2020,1,306,"SEB","COV067",125000000,325000000
2020,1,246,"SEA","COV034",10000000,30000000
2020,1,246,"SEB","COV089",,50000000
2020,1,246,"SEC","COV089",8700000,-8700000
2020,1,326,"SEC","COV114",3779000,518400
2020,1,138,"SEB","COV101",115782133,69564
2020,1,139,"SEB","COV093",,20000000
2020,1,139,"SEC","COV142",600000,
2020,1,334,"SEC","COV153",187500000,
2020,1,140,"SEA","COV002",12000000,
2020,1,140,"SEA","COV010",8000000,
2020,1,140,"SEA","COV043",5131519,298831454
2020,1,140,"SEB","COV043",65160906,198539094
2020,1,140,"SEB","COV050",5191667,51750
2020,1,140,"SEB","COV065",,9518000
