dept_code,cr_id,planning_year_1,planning_year_2,planning_year_3
ND,ND-SO1999,3115,3129,3130
NR,NR-SO1999,922,882,888
PSEP,PSEP-SO1999,410,412,411
GSC,GSC-SO1999,2802,2810,2812
TC,TC-SO1999,1189,1173,1139
VAC,VAC-SO1999,656,652,652
WDO,WDO-SO1999,85,85,85
EC,EC-SO1999,1443,1382,1360
FORDQ,FORDQ-SO1999,134,132,132
FEDSO,FEDSO-SO1999,112,106,0
FTRAC,FTRAC-SO1999,51,51,51
IRB,IRB-SO1999,250,250,250
LAC,LAC-SO1999,241,241,241
CFGB,CFGB-SO1999,11,11,11
MPCC,MPCC-SO1999,19,19,19
NEB,NEB-ISS00,134,128,128
NFB,NFB-SO1999,51,51,51
NRC,NRC-SO1999,1005,1005,1005
NSERC,NSERC-SO1999,133,133,133
OICC,OICC-SO1999,158,155,157
CEO,CEO-SO1999,152,148,152
SWC,SWC-SO1999,57,57,57
FJA,FJA-SO1999,6,6,6
ORL,ORL-ISS00,6,6,6
OCOL,OCOL-SO1999,42,42,42
OCSEC,OCSEC-SO1999,3,3,3
OCI,OCI-SO1999,4,4,4
ODPP,ODPP-SO1999,118,118,118
OPSIC,OPSIC-SO1999,7,7,7
OSFI,OSFI-SO1999,193,192,194
PCA,PCA-SO1999,1073,1072,1072
NPB,NPB-ISS00,60,60,60
PMPRB,PMPRB-SO1999,20,20,20
PCO,PCO-SO1999,295,295,295
PHAC,PHAC-SO1999,597,595,595
PSC,PSC-SO1999,259,257,254
SCC,SCC-SO1999,69,69,69
RCMP,RCMP-SO1999,5388,5409,5409
SIRC,SIRC-SO1999,9,9,8
SHARE,SHARE-SO1999,945,945,945
SSHRC,SSHRC-SO1999,91,91,91
SC,SC-SO1999,591,587,589
NBC,NBC-SO1999,18,18,18
IPC,IPC-SO1999,70,70,70
EA,EA-SO0585,1130,1130,1121
SIRC,SIRC-SO1181,25,25,25
CIHR,CIHR-SO0251,247,243,245
CAS,CAS-SO0471,470,470,470
HRSD,HRSD-SO0493,638,638,638
NR,NR-SO0852,800,782,780
HRSD,HRSD-SO0491,9468,8782,8639
CCMD,CCMD-SO0121,410,378,378
JUS,JUS-SO0691,3089,3089,3089
OAG,OAG-SO0041,560,560,560
EA,EA-SO0583,4203,4203,4201
ISC,ISC-SO0663,2867,2869,2860
INAC,INAC-SO0643,363,342,342
AECB,AECB-SO0331,623,623,623
CCOHS,CCOHS-SO0161,68,71,73
JUS,JUS-SO0692,263,263,263
OCI,OCI-SO0941,32,32,32
NPA,NPA-SO0871,4,4,4
PSC,PSC-SO1091,582,577,570
PMPRB,PMPRB-SO1031,46,46,46
ATSSC,ATSSC-SO0001,545,545,545
CI,CI-SO0423,765,756,758
CPCC,CPCC-SO0342,36,39,39
CHRC,CHRC-BSA00,34,34,34
OCOL,OCOL-SO0901,121,121,121
CHRC,CHRC-BSB00,74,74,74
NPB,NPB-BUC00,40,40,40
OSFI,OSFI-SO0972,446,446,449
TBC,TBC-BXD00,33,33,33
NRC,NRC-SO0832,291,295,295
CH,CH-SO0222,99,99,94
CCRA,CCRA-BRC00,31,31,31
OCSEC,OCSEC-SO0911,9,9,9
VAC,VAC-SO1323,38,38,38
VRAB,VRAB-SO1331,101,101,101
EC,EC-SO0512,1443,1383,1354
