dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
CHRC,age35to39,27,27,30,25,25,0.13215
CHRC,age40to44,22,22,28,31,37,0.13807
CHRC,age45to49,42,35,27,20,15,0.13708
CHRC,age50to54,34,30,33,37,34,0.16568
CHRC,age55to59,22,24,27,25,23,0.11933
CHRC,age60to64,12,12,8,9,12,0.05227
CHRC,age65plus,4,4,6,7,6,0.02663
CHRT,age25to29,3,3,.,.,.,0.14634
CHRT,age30to34,2,3,.,.,.,0.12195
CHRT,age35to39,5,2,.,.,.,0.17073
CHRT,age40to44,2,3,.,.,.,0.12195
CHRT,age45to49,5,4,.,.,.,0.21951
CHRT,age50to54,3,4,.,.,.,0.17073
CHRT,age55to59,1,.,.,.,.,0.02439
CHRT,age60to64,.,1,.,.,.,0.02439
CI,age20less,30,42,28,32,19,0.005
CI,age20to24,257,340,405,403,334,0.05756
CI,age25to29,500,637,740,730,653,0.1079
CI,age30to34,717,876,894,947,894,0.14324
CI,age35to39,709,927,1046,1096,1097,0.16135
CI,age40to44,635,788,837,885,954,0.13567
CI,age45to49,652,762,755,831,830,0.12676
CI,age50to54,656,761,783,787,794,0.12514
CI,age55to59,436,487,534,529,537,0.0835
CI,age60to64,202,246,272,260,260,0.04104
CI,age65plus,56,61,91,87,93,0.01284
CICS,age20to24,.,.,1,1,2,0.03509
CICS,age25to29,3,5,3,1,1,0.11404
CICS,age30to34,2,2,4,7,5,0.17544
CICS,age35to39,.,.,.,.,1,0.00877
CICS,age40to44,1,1,.,1,1,0.03509
CICS,age45to49,2,2,2,3,3,0.10526
CICS,age50to54,6,5,5,4,3,0.20175
CICS,age55to59,4,4,4,1,2,0.13158
CICS,age60to64,3,3,3,2,2,0.11404
CICS,age65plus,2,2,1,2,2,0.07895
CIHR,age20less,.,1,1,.,3,0.00237
CIHR,age20to24,5,13,21,12,24,0.03556
CIHR,age25to29,30,29,28,19,26,0.06259
CIHR,age30to34,63,71,61,59,62,0.14983
CIHR,age35to39,72,73,86,83,93,0.19298
CIHR,age40to44,76,73,66,71,79,0.17307
CIHR,age45to49,51,53,61,55,61,0.13324
CIHR,age50to54,49,48,55,57,58,0.1266
CIHR,age55to59,35,40,36,32,39,0.0863
CIHR,age60to64,12,9,12,14,13,0.02845
CIHR,age65plus,1,2,5,7,4,0.00901
CIRB,age20to24,2,2,.,.,.,0.02235
CIRB,age25to29,6,3,.,.,.,0.05028
CIRB,age30to34,10,15,.,.,.,0.13966
CIRB,age35to39,7,5,.,.,.,0.06704
CIRB,age40to44,12,12,.,.,.,0.13408
CIRB,age45to49,12,9,.,.,.,0.11732
CIRB,age50to54,21,17,.,.,.,0.21229
CIRB,age55to59,9,8,.,.,.,0.09497
CIRB,age60to64,9,12,.,.,.,0.11732
CIRB,age65plus,3,5,.,.,.,0.04469
CITT,age20to24,3,6,.,.,.,0.06
CITT,age25to29,7,10,.,.,.,0.11333
CITT,age30to34,10,7,.,.,.,0.11333
CITT,age35to39,13,12,.,.,.,0.16667
CITT,age40to44,16,16,.,.,.,0.21333
CITT,age45to49,5,8,.,.,.,0.08667
CITT,age50to54,9,7,.,.,.,0.10667
CITT,age55to59,9,10,.,.,.,0.12667
CITT,age60to64,1,.,.,.,.,0.00667
CITT,age65plus,.,1,.,.,.,0.00667
CNEDA,age20less,.,.,.,1,1,0.0087
CNEDA,age20to24,.,.,2,4,1,0.03043
CNEDA,age25to29,.,.,9,5,7,0.0913
CNEDA,age30to34,.,.,8,7,12,0.11739
CNEDA,age35to39,.,.,10,10,11,0.13478
CNEDA,age40to44,.,.,10,12,11,0.14348
CNEDA,age45to49,.,.,6,11,10,0.11739
CNEDA,age50to54,.,.,12,11,7,0.13043
CNEDA,age55to59,.,.,12,9,9,0.13043
CNEDA,age60to64,.,.,5,7,9,0.0913
CNEDA,age65plus,.,.,1,.,.,0.00435
CPAC,age20less,.,.,.,1,.,0.01408
CPAC,age25to29,2,1,1,1,.,0.07042
CPAC,age30to34,2,1,2,2,.,0.09859
CPAC,age35to39,.,2,2,2,.,0.08451
CPAC,age40to44,2,2,1,1,.,0.08451
CPAC,age45to49,2,3,4,4,.,0.1831
CPAC,age50to54,5,3,4,3,.,0.21127
CPAC,age55to59,.,1,2,2,.,0.07042
CPAC,age60to64,3,1,1,1,.,0.08451
CPAC,age65plus,.,3,2,2,.,0.09859
CPCC,age20to24,.,.,1,3,3,0.07778
CPCC,age25to29,3,2,3,7,6,0.23333
CPCC,age30to34,.,1,1,1,1,0.04444
CPCC,age35to39,.,.,1,2,1,0.04444
CPCC,age40to44,1,2,2,2,4,0.12222
CPCC,age45to49,1,1,1,5,4,0.13333
CPCC,age50to54,1,1,2,5,6,0.16667
CPCC,age55to59,3,3,2,2,1,0.12222
CPCC,age60to64,.,1,1,1,.,0.03333
CPCC,age65plus,.,.,.,1,1,0.02222
CRTC,age20less,2,1,.,1,.,0.00178
CRTC,age20to24,8,10,21,15,15,0.03063
CRTC,age25to29,44,33,44,40,40,0.08921
CRTC,age30to34,66,62,70,73,73,0.15269
CRTC,age35to39,68,85,82,80,89,0.17932
CRTC,age40to44,43,46,43,60,72,0.11718
CRTC,age45to49,57,41,47,46,46,0.10519
CRTC,age50to54,72,75,73,65,57,0.1518
CRTC,age55to59,45,45,51,39,41,0.09809
CRTC,age60to64,29,27,23,22,21,0.05415
CRTC,age65plus,10,10,8,9,8,0.01997
CSA,age20less,.,.,.,.,2,0.00063
CSA,age20to24,24,11,14,16,38,0.03265
CSA,age25to29,28,14,13,14,24,0.02948
CSA,age30to34,50,46,44,40,42,0.07036
CSA,age35to39,102,93,74,81,65,0.13154
CSA,age40to44,104,107,97,98,101,0.1607
CSA,age45to49,120,112,109,107,108,0.17623
CSA,age50to54,120,117,109,108,107,0.17781
CSA,age55to59,68,71,81,89,91,0.12678
CSA,age60to64,29,33,35,38,48,0.058
CSA,age65plus,18,17,24,25,29,0.03582
CSC,age20less,7,7,6,7,5,0.00036
CSC,age20to24,392,367,286,248,270,0.01763
CSC,age25to29,1726,1541,1372,1168,1038,0.07719
CSC,age30to34,2375,2305,2182,2105,2007,0.12375
CSC,age35to39,2905,2862,2702,2551,2553,0.15306
CSC,age40to44,3164,3213,3222,3172,3055,0.17846
CSC,age45to49,2853,2824,2779,2812,2976,0.16062
CSC,age50to54,2536,2553,2553,2551,2539,0.14357
CSC,age55to59,1697,1682,1642,1605,1669,0.09354
CSC,age60to64,647,681,671,706,752,0.03898
CSC,age65plus,199,224,224,247,245,0.01284
CSEC,age20less,1,3,.,1,4,0.00083
CSEC,age20to24,65,99,80,81,89,0.03839
CSEC,age25to29,179,178,177,162,171,0.08039
CSEC,age30to34,320,295,284,247,247,0.12916
CSEC,age35to39,335,369,383,399,398,0.17469
CSEC,age40to44,266,285,285,304,343,0.13751
CSEC,age45to49,311,311,291,294,296,0.13936
CSEC,age50to54,342,347,371,338,307,0.15809
CSEC,age55to59,162,181,190,222,240,0.09226
CSEC,age60to64,63,76,79,81,81,0.03523
CSEC,age65plus,31,27,28,33,33,0.01409
CTA,age20less,1,.,2,1,2,0.00515
CTA,age20to24,13,.,9,10,9,0.03519
CTA,age25to29,14,10,17,17,14,0.0618
CTA,age30to34,28,25,24,20,18,0.09871
CTA,age35to39,35,39,36,33,27,0.14592
CTA,age40to44,30,26,31,37,44,0.14421
CTA,age45to49,40,36,31,23,24,0.13219
CTA,age50to54,42,37,42,48,39,0.17854
CTA,age55to59,28,30,32,32,29,0.12961
CTA,age60to64,7,13,13,16,15,0.05494
CTA,age65plus,6,2,4,2,2,0.01373
CTAIB,age20to24,1,1,2,3,2,0.00864
CTAIB,age25to29,8,11,7,2,6,0.03263
CTAIB,age30to34,10,12,7,9,9,0.04511
CTAIB,age35to39,17,19,21,25,25,0.10269
