"deptcode","dimension","pa_last_year_5","pa_last_year_4","pa_last_year_3","pa_last_year_2",pa_last_year
"CH","ns","16.8561324659207","15.8608427213622","15.7627148513347","19.1081218284738",26.171679378179
"CH","nt","198.574570633358","215.386499215071","242.033751979834","277.181095757362",401.67999732793
"CH","nu","126.981589173993","132.250278782604","130.447696056119","163.600502512563",380.936688563596
"CH","on","42.3008586774115","52.495592132476","35.7477458453781","39.3537178527445",39.0649583871907
"CH","pe","99.5754857582542","104.917974537672","76.7462547256599","96.7439293598234",76.0730585393432
"CH","qc","23.3727880086188","21.8855094748531","20.7878704452991","25.9281167988033",27.6628756136796
"CH","sk","15.7823992720811","13.9540404562802","13.6425202755734","15.4464778237178",15.8719619615944
"CH","yt","87.1075136465803","126.671074076021","139.726097598287","216.497039800995",230.619221201448
"CI","ab","18.5778315529395","20.5480566220244","22.7220997951862","25.8140985972273",28.9897122458084
"CI","bc","23.0969511066029","20.3978703083821","21.53056190716","22.2802893123836",21.8044069684036
"CI","mb","7.90002204297168","9.06290501737903","9.42069210228208","10.35470425944",10.6054336791391
"CI","nb","7.64538545460295","8.28302651619005","11.5229093809035","14.4488499529266",16.7484154663407
"CI","nl","5.02861779749765","4.66593581482735","5.56148869762603","5.99182515247116",7.50554495063292
"CI","ns","6.43990788991649","6.63827678539147","9.15973816840292","12.3386394466681",12.2207975719684
"CI","nt","13.116036476365","12.5943485086342","12.6646886920829","15.6936117610702",16.7097909105079
"CI","nu","0","0","0","0",6.73157295815445
"CI","on","24.1968383728875","23.4405126607267","24.4084187087302","25.2781245411698",26.2967058959661
"CI","pe","31.9909191107661","29.9241068978763","25.6706575969809","30.5143093661306",33.0748702266536
"CI","qc","39.2978655193522","41.5322537491993","42.6285080698741","45.3220887359761",58.1454905169025
"CI","sk","15.2387205646019","19.7854522886946","22.7619412226389","25.4078830029272",30.9948037064901
"CI","yt","12.1783688322809","13.5852215971821","10.1859925551986","11.421815920398",18.92719391148
"CIDA","ab","1.00859070319502","0","0","0",0
"CIDA","bc","0.357121283360506","0","0","0",0
"CIDA","mb","3.09852699658455","0","0","0",0
"CIDA","ns","0.337033828880741","0","0","0",0
"CIDA","on","4.78065986045212","0","0","0",0
"CIDA","qc","2.31695528994447","0","0","0",0
"CIDA","sk","0.967651228184332","0","0","0",0
"CIHR","ab","16.4644381464525","17.6305304100063","17.7442231827268","18.6632605588448",18.6199984784761
"CIHR","bc","26.1045202163456","24.8915334876468","25.0919871024455","24.3580738264801",24.1125248178046
"CIHR","mb","4.8484487561466","5.10111854683369","4.81131600894902","5.02559226195548",4.84776486525435
"CIHR","nb","1.04015558378176","0.792974842874553","0.794469901491035","0.872810827399312",0.818722888483719
"CIHR","nl","7.43449171784427","8.53465844332339","9.46676061666509","8.09734412423337",8.44595824933342
"CIHR","ns","21.0473976017627","22.3754314735926","18.443462230064","17.9564475138584",16.5587151873004
"CIHR","nt","7.35184305206707","0","0","30.4534016158227",37.511411966421
"CIHR","on","33.1974415246389","33.1358816549289","33.5192471031474","35.5668657508518",35.7975122895627
"CIHR","pe","1.57655328263748","1.09527794545355","1.3368967439112","16.3603095763692",7.9554915968546
"CIHR","qc","28.0210603544282","28.8899161819996","28.6488529617911","28.8860760508601",28.7211158802449
"CIHR","sk","8.39184630758148","8.59819103971456","8.75661724949856","11.7222363089725",10.908452153537
"CNEDA","nt","250.535311022108","230.027068849518","221.497445735829","223.142775153415",275.409761963081
"CNEDA","nu","384.804095581953","329.119645334131","284.87892580792","344.49788415763",310.046837014431
"CNEDA","on","0.00978429918082555","0.147166314009761","0.0214161286578212","0.0870702198150895",0.0207121642955151
"CNEDA","yt","233.540645402975","197.343383628621","227.008898067411","284.926965174129",317.271126326938
"CPCC","ab","0","0","0","0.0234999963817788",0.0918680981249631
"CPCC","bc","0","0","0.0448908682587689","0.0482441928063084",0.154382001989387
"CPCC","mb","0","0","0","0.651746678764753",0.0287296815073476
"CPCC","nl","0","0","0","0.474365281209817",1.07960131441534
"CPCC","ns","0","0","0","0",0.35988079142741
"CPCC","nt","0","0","5.20139647980012","10.8106264624078",13.8745685720012
"CPCC","nu","0","0","0","11.8444591377942",17.1920291729168
"CPCC","on","0.012143504030034","0","0.0459059714877085","0.0566767445764908",0.184604206419639
"CPCC","qc","0","0","0.0253904599336729","0.0227075542258788",0.191019020885081
"CPCC","yt","0","0","0","0",27.5142730474619
"CSA","ab","0.504737301068236","0.731501889752294","0.605464679550582","0.772008647315175",0.656684902736238
"CSA","bc","0.0817927095508621","0.151883372946439","0.47856848734506","0.549421552128252",0.429653561280658
"CSA","mb","0","0.074639775310186","0","0.0596189476205294",0.0835879740770935
"CSA","nb","0.483380943094916","0.609484067066428","0.297720631973905","0.27385138333342",0.509260395897592
"CSA","nl","0","0","0.230857845455405","0.20694102295757",0
"CSA","ns","0","0","0","0.105665204066252",0.359647008562039
"CSA","nt","0","0","0","0",2.55383108062972
"CSA","on","0.210491182791923","0.218752010723375","0.515764840627595","0.59564358198739",0.459500193382574
"CSA","qc","0.129815119643203","0.138167388563137","0.242590247669428","0.392272610321616",0.366325666824778
"CSA","sk","0.397845560356308","0.419575881826146","0.529563094096102","1.17403978673235",1.2055435100984
"CSA","yt","0","0","0","0",2.77810891357356
"CSC","mb","0","0.581094346525929","0","0.610080410880528",0.0436677368664559
"CSC","sk","0.216993830923324","0.298411258660457","5.07804308014302","1.86856630805825",1.76644774202474
"EA","ab","6.82667756703728","7.69772261234192","10.0396219171554","9.02634648599527",9.41279633804584
"EA","bc","2.94533224570643","2.48389217647199","4.12396572459779","4.51607677420029",3.67688942256251
"EA","mb","6.39729937262311","9.52650950017517","11.2608371172507","9.30339648257546",9.66957188867317
"EA","nb","3.6871498442581","3.81242678301799","3.85034350670998","5.71877421938799",5.83064452562196
