dept_code,activity_code,vs_type,pa_last_year_5,pa_last_year_4,pa_last_year_3,pa_last_year_2,pa_last_year
CAS,BEG02,V,28966988.049999997,26742802.28,28571002.9,33281925.740000002,31097518.450000003
CAS,BEG03,S,82979.75,106569.07,28430.300000000003,4705.47,671.49
CAS,BEG03,V,2685899.95,2864028.88,2603155.11,329454.54000000004,13014.68
CAS,BEG04,S,429484.79,345385.88999999996,367981.51,500446.07,499453.68000000005
CAS,BEG04,V,8679942.26,6204579.71,7081318.6899999995,8418752.77,8043248.75
CAS,ISS00,S,2617466.98,2190641.8200000003,2917295.21,3500680.68,3521522.67
CAS,ISS00,V,26513885.400000002,30290869.15,32092436.82,37931828.94,38187674.440000005
CASDO,BXZ01,S,127436.29,,,365384.68,324088.44
CASDO,BXZ01,V,1428278.36,1655122.33,3868184.05,5230022.1899999995,5072278.46
CASDO,BXZ02,S,134055.13999999998,,415219.2,250900.53000000003,
CASDO,BXZ02,V,6751286.59,9747419.55,10120597.219999999,10705718.53,10413953.65
CASDO,ISS00,S,237620.68999999997,655981.36,377430.77999999997,400723.33999999997,647889.21
CASDO,ISS00,V,5925462.16,4442091.19,4285169.2,4636455.6899999995,4920884.7
CATSA,BEO00,V,686325308.37,686115078.02,865964449.01,971162874.0,1079165190.0
CB,BEZ01,S,334058.34,282392.72,327508.45,337562.9,412938.85
CB,BEZ01,V,2828245.2600000002,2639792.3600000003,2869144.51,2922330.9499999997,3649369.7199999997
CB,ISS00,S,78359.36,70598.18,81877.11,84390.70999999999,103234.71
CB,ISS00,V,661724.32,657888.73,717257.5,730564.26,907762.83
CBC,BFD00,V,1366915479.0,1250423241.0,1287296942.0,1454159531.0,1425237411.0
CBSA,BUF01,S,4415212.08,4842326.680000001,4573909.99,4698533.51,5876190.2
CBSA,BUF01,V,66205486.769999996,72225261.47,69414250.27,64336582.47,68634266.12
CBSA,BUF02,S,9408366.11,9888203.51,12155164.52,12722456.02,15612618.28
CBSA,BUF02,V,83654969.6,96174868.11,101676730.82,104861934.47,120524406.99999999
CBSA,BUF03,S,1669237.49,1752879.4200000002,2267958.2,2439975.78,3177536.6
CBSA,BUF03,V,12432586.639999999,18749524.29,25943939.63,28696717.88,31427955.009999998
CBSA,BUF04,S,63329282.97,71229636.33,82112051.55,83761749.57000001,103397263.59
CBSA,BUF04,V,472641838.59,605825340.25,607891284.72,612628377.21,753304786.5699999
CBSA,BUF05,S,48038784.21,51740811.18,43966606.47,44349956.22,54039813.72
CBSA,BUF05,V,384121629.23,421480975.77000004,365490222.63,383804155.42,435266230.18
CBSA,BUF06,S,1165996.8099999998,1308269.17,1298049.85,1317854.6,1621939.98
CBSA,BUF06,V,7926291.089999999,8709751.58,9417668.84,10512623.95,13058659.01
CBSA,BUF07,S,2307469.65,2136783.0300000003,3057191.22,3736946.8999999994,4748633.74
CBSA,BUF07,V,9602587.42,7857373.159999999,4288424.74,7321516.520000003,8777328.81
CBSA,BUF08,S,1120370.09,1261932.9700000002,1368634.5,1386825.15,1955413.27
CBSA,BUF08,V,9185028.74,11113081.78,12131203.05,11393826.37,11508944.049999999
CBSA,BUF09,S,1840711.62,2013451.1099999999,2022364.55,2072899.05,2506985.7199999997
CBSA,BUF09,V,17596909.34,22022570.689999998,22881279.41,22544244.28,24436639.73
CBSA,BUF10,S,5105984.51,6113445.3,6791425.850000001,6841758.98,7294519.109999999
CBSA,BUF10,V,46669780.46,57406213.099999994,66547366.85,69355842.72,70086186.99000001
