"org_id","fiscal_year","est_doc","covid_initiative_id","vote","stat"
348,2020,"SEA","COVINIT066",,10000000
348,2020,"SEA","COVINIT086",,75000000
348,2020,"SEB","COVINIT033",7236222,-7236222
348,2020,"SEB","COVINIT036",,305000000
348,2020,"SEB","COVINIT072",,75000000
348,2020,"SEB","COVINIT073",,82500000
348,2020,"SEB","COVINIT075",15879000,90021000
348,2020,"SEB","COVINIT091",298300000,
348,2020,"SEB","COVINIT092",8100000,237300000
348,2020,"SEC","COVINIT015",300000,
348,2020,"SEC","COVINIT024",1253035,-1253035
348,2020,"SEC","COVINIT033",2502673,-2502673
348,2020,"SEC","COVINIT036",383838641,-3838641
348,2020,"SEC","COVINIT066",2437358,-2437358
348,2020,"SEC","COVINIT072",1809163,-1809163
348,2020,"SEC","COVINIT073",58268205,-58268205
348,2020,"SEC","COVINIT092",23612858,-25773432
348,2020,"SEC","COVINIT104",58000000,
348,2020,"SEC","COVINIT116",525726568,3205691
348,2020,"SEC","COVINIT121",58000000,
348,2020,"SEC","COVINIT153",63749620,127701
42,2020,"SEA","COVINIT008",,2972900000
42,2020,"SEB","COVINIT008",5000000,-5000000
42,2020,"SEB","COVINIT032",5594701,11105299
42,2020,"SEB","COVINIT056",253750000,503750000
42,2020,"SEB","COVINIT075",1500000,2500000
42,2020,"SEC","COVINIT008",13456834,-825356834
42,2020,"SEC","COVINIT032",793128,-793128
42,2020,"SEC","COVINIT056",3480748,-3480748
42,2020,"SEC","COVINIT075",1388275,-1388275
46,2020,"SEB","COVINIT025",9710000,87390000
46,2020,"SEB","COVINIT065",,60200000
46,2020,"SEC","COVINIT025",2678509,-2678509
46,2020,"SEC","COVINIT065",21287790,-21287790
46,2020,"SEC","COVINIT100",2142850,312950
46,2020,"SEC","COVINIT101",1095429,212174
46,2020,"SEC","COVINIT102",20712181,3925106
46,2020,"SEC","COVINIT103",36320245,6529625
46,2020,"SEC","COVINIT143",,38500000
55,2020,"SEB","COVINIT093",1312992,287008
65,2020,"SEA","COVINIT035",16147819,3300695
74,2020,"SEA","COVINIT023",25795292,
74,2020,"SEA","COVINIT045",12500000,
74,2020,"SEA","COVINIT050",1780000,112983500
74,2020,"SEB","COVINIT042",10403571,133796429
74,2020,"SEB","COVINIT059",,1200000
74,2020,"SEB","COVINIT075",,87500000
74,2020,"SEB","COVINIT079",12399149,
74,2020,"SEC","COVINIT042",126700000,-126700000
81,2020,"SEB","COVINIT067",,2206586
82,2020,"SEB","COVINIT067",,4256563
84,2020,"SEB","COVINIT067",,2049575
85,2020,"SEB","COVINIT067",,5927263
86,2020,"SEA","COVINIT016",9300000,2500000
86,2020,"SEA","COVINIT082",20000000,2500000
86,2020,"SEB","COVINIT097",151000,
86,2020,"SEC","COVINIT082",3000000,
86,2020,"SEC","COVINIT135",625000,
93,2020,"SEA","COVINIT019",22200000,5130000
93,2020,"SEB","COVINIT019",4218917,667668
93,2020,"SEC","COVINIT137",50000000,

