dept_code,activity_code,pa_last_year_5_exp,pa_last_year_4_exp,pa_last_year_3_exp,pa_last_year_2_exp,pa_last_year_exp,pa_last_year_planned,planning_year_1,planning_year_2,planning_year_3
CBSA,BUG04,37295223.22,50274525.57,56049453.82,65781214.06,78250479.97,71785465,94803467,94343414,83558903
CBSA,BUG05,40789889.68,45924766.28,47477139.2,46091885.02,55890634.74,48793222,47598242,46560712,46575410
CBSA,ISS01,104105559.5,121637891.8,106379166.3,120706291.3,117603306.7,128401525,94901249,98934146,98095744
CBSA,ISS02,15021645.3,14464875.26,13310945.89,15799159.73,14882287.41,14920001,13587167,13643236,13540623
CBSA,ISS03,15865357.04,16201350.11,21154104.51,19687196.75,21572139.35,25061681,22210933,22180784,21661581
CBSA,ISS04,71545007.74,77595775.4,89960396.6,102943731.3,101971275.8,74401897,69877076,66569931,66460176
CBSA,ISS05,41828744.95,45763002.09,47054254.9,46784600.03,49285562.18,61113977,58947804,59353318,54809260
CBSA,ISS06,18302417.72,23973816.51,26544568.5,28409255.12,17946442.45,8621785,8666741,8783075,8689611
CBSA,ISS07,159311191.6,171223458.7,197845398.7,192407220.1,174386290.3,147679609,170981563,123852313,151306387
CBSA,ISS08,20942921.06,22793862.06,19538276.61,22839983.4,20089665.26,21799544,19608124,17635091,17494786
CBSA,ISS09,9890228.82,10195670.88,15644285.36,13618833.5,12887701.35,13423044,9957525,12756849,13424406
CBSA,ISS0Z,6669285.44,6326140.98,6916111,9273731.15,11341139.04,12318000,12493207,7467622,10303393
CC,BFJ00,428631145,510389080,423422901,369338611,364283160,,,,
CCC,BYH00,,,13000000,13962379,13792138,,,,
CCMD,BTR01,56617690.23,59595861.44,64915499.37,68650217.8,71018719.51,64839102,70539948,62384143,61790326
CCMD,ISS00,25665143.01,21740560.08,23947239.34,26126943.36,27762610.34,23981585,23513316,23073587,22853956
CCOHS,BFZ01,7577113.53,8613556.47,8853798.72,10256443.01,9982245.87,7367779,8619003,8619003,8619003
CCOHS,ISS00,4128539.2,4479475.54,4301570.5,4756067.33,4896926.42,4327109,5061954,5061954,5061954
CCRA,BRA01,1232375373,1300163726,1352213186,1491883505,1303161621,1008021111,1105773410,944472346,944571950
CCRA,BRA02,396349254.9,430731465.4,499016583.3,569943345.6,517895248.2,458366508,474245793,461558119,445966326
CCRA,BRA03,470623139.8,446043963.8,520285817.3,572689109.8,562897599.3,526305728,540136293,525210972,520053887
CCRA,BRA04,860364454.4,,,,,,,,
CCRA,BRA05,470693837.3,,,,,,,,
CCRA,BRA06,226040457.6,244665970.3,277309754.4,335376881.8,340902113.6,343196213,362064222,367506356,331359176
CCRA,BRA07,25732803.08,34558425.38,53627424.76,80422217.64,69072022.86,35582523,36625537,36802538,36759962
CCRA,BRA08,19364822.32,19389089.76,20873769.75,28598494.13,27294351.87,15075852,16295628,15887853,15718518
CCRA,BRA09,43235305.33,37752314.64,39424928.42,43522502.54,43085072.67,40374274,42055953,40424849,40289258
CCRA,BRA10,24686875.32,22490893.25,24890374.16,27485794.71,28001608.02,26369173,30061838,25012765,24376297
CCRA,BRA11,118788868.1,116925251.1,130317906.8,152692895.7,148302736,142368447,152046925,152199379,154198535
CCRA,BRA12,,1297914401,1426330005,1723048871,1727012679,1641496562,1710191849,1697520660,1681238161
CCRA,BRB01,5147281793,4403123715,7661832665,10514068342,16182472509,12294047102,4858170167,673866260,681511620
CCRA,BRC01,4614641.29,4049529.32,4551186.07,5532721.69,5611233.23,4708163,5324936,4780970,4784123
CCRA,ISS01,172947191.9,195638587.2,241589561.2,262720840.3,241059775.1,212329302,209580094,203398664,202434543
CCRA,ISS02,46633384.22,53481788.88,47640018.14,52100889.98,56818867.77,45425566,44592811,38824624,38466541
CCRA,ISS03,2949255.69,3153607.52,3432861.48,4081079.31,4003985.16,3773301,3879190,3892764,3892764
CCRA,ISS04,144962710.5,156110688.7,183625166.3,219065812.3,207989446.1,156845904,161062124,153516301,151673612
CCRA,ISS05,55520062.72,53131206.9,64060855.78,73388491.04,75185472.66,80140305,109088032,90461219,98270064
CCRA,ISS06,17482853.85,28426555.09,16528103.84,19096412.14,22120583.19,23659162,26625229,26449524,22971711
CCRA,ISS07,418841857.9,560393175.4,462125877.6,539704399,527357117.2,422131777,386056162,373972468,388660102
CCRA,ISS08,38533609.66,43008095.13,45624015.86,47165192.94,51819289.34,57921900,61370096,49834068,47848363
CCRA,ISS09,34789042.81,27825396.44,25867580.56,28437155.79,26861579.19,30108938,29155700,27770342,27755884
CCRA,ISS0Z,11186344.11,10316767.54,10306399.48,10905055.33,10398396.36,11207752,10814607,10010015,10010015
CDC,BGA00,4576877,4291407,4543733,5375706,5148853,,,,
CEAA,BGV01,30314230.43,,,,,,,,
CEAA,BGV02,36885954.89,,,,,,,,
CEAA,BGV03,,48955248.2,51163503.57,60101403.1,59349880.36,66652734,72147369,72448358,73383904
CEAA,BGV04,,9930712.06,10382257.59,18541136.99,19378446.76,18662765,20201263,20285540,20547493
CEAA,ISS20,9683304.16,13114776.08,10959717.2,18902276.03,26058916.2,21328875,23087158,23183475,23482849
CEO,BGG01,107646110.3,413048519.4,,,,,,,
CEO,BGG02,12761904.48,14726588.37,,,,,,,
CEO,BGG03,19063203.91,47533624.67,,,,,,,
CEO,BGG04,4087200.9,80682170.28,,,,,,,
CEO,BXX01,7770484.04,7267285.01,,,,,,,
CEO,BYG01,,,10119937.55,1324097.29,,0,,,
CEO,BYI01,,,13316010.84,18357258.12,23386239.07,18183884,225783989,14005307,11603420
CEO,BYI02,,,55603144.97,79363225.59,127709603.2,80457198,189589987,35027423,27249503
CEO,BYI03,,,18470836.87,24677970.32,25974202.64,24364858,40050995,19185673,17294745
CEO,BYI04,,,16906967.9,21693130.64,19277346.73,17005355,36531748,15931455,14063642
CEO,BYJ01,,,7499281.2,9422865.95,11243032.11,9914228,13409538,16103062,16118986
CEO,BYJ02,,,19698258.13,15898709.26,15805330.21,13418906,84452604,11752763,10871329
CEO,BYJ03,,,3404473.36,3717560.72,3961250.59,3703593,3440399,3068459,2968548
CEO,ISS00,57501257.18,64029660.23,68114463.56,74611673.73,85922687.5,92240266,98368396,70573167,69123048
CFDC,BSQ00,92090215.95,91206087.77,106054136.3,107173011.2,105294164.6,,,,
CFDC,BSR00,28079983.93,45428516.4,50374028.04,33089701.45,38117122.75,,,,
CFDC,ISS00,12138041.4,14593994.83,14622305.23,15013431.38,14891043.61,,,,
CFGB,BUZ01,4978501.2,4811194.75,4706492.15,5221790.6,5859315.22,5772916,6063115,5830105,6455740
CFGB,ISS00,2216718.53,2213866.53,2382707.73,2540298.76,2543878,2474107,2448318,2498617,2766746
CFIA,BUH01,19176375.51,21195125.57,23851685.41,25622445.26,27682070.24,21595000,22581000,22036000,22035000
CFIA,BUH02,1871085.75,2334903.73,2469962.6,3435125,3284467.13,1817000,2207000,1952000,1952000
CFIA,BUH03,39944893.28,44221355.51,51236190.08,70791694.3,68912743.47,66018000,60366000,55875000,55871000
CFIA,BUH04,25914950.88,30562334.52,47240603.92,52428402.26,51680124.82,41126000,33307000,33062000,33059000
CFIA,BUH05,32690014.64,37286618.65,37614878.21,40749922.7,44709063.74,45790000,48922000,45632000,45629000
CFIA,BUH06,7700006,7902027.83,9333240.15,10576719.81,10950416.65,8660000,9210000,7010000,7009000
CFIA,BUH07,67930884.96,73530653.06,187575571.2,194497251.6,156123050.9,66980474,110327000,64080000,64076000
CFIA,BUH08,24150392.25,25320357.98,25811916.2,26524162.72,26214400.96,28231000,28086000,25662000,25661000
CFIA,BUH09,52626053.44,54753021.31,56069955.05,60250194.3,62334883.82,58693000,58097000,55921000,55288000
CFIA,BUH10,16289900.41,18289046.15,16520694.01,17745117.77,17634155.08,15159000,15844000,14077000,14073000
CFIA,BUH11,295851006.8,277020139.2,277721735.6,305580215.5,291777912.9,270986000,287422981,274605892,274308423
CFIA,BUH12,40353484.55,35863776.87,60113274.43,39209691.71,38892677.24,36307000,36362000,36684000,36680000
CFIA,BUH13,6036842.52,6166674.79,6673125.29,6703161.74,6907373.1,3986000,4497000,2739000,2738000
CFIA,BUH14,4433164.69,4499842.43,4582185.67,4991937.91,5016820.95,4399000,4533000,2336000,2335000
CFIA,BUH15,10621453.94,15301326.16,17123049.97,18224375.34,18625923.01,14578000,15314000,10256000,10322000
CFIA,ISS01,15633038.46,16576780.25,17896049.45,20755523.76,20199281.82,17347000,18597000,17914000,17910000
CFIA,ISS02,13847310.18,14923376.8,16398517.82,15904356.83,15322236.89,16769000,17690000,17049000,17046000
CFIA,ISS03,12686148.31,9388458,8398241.13,11479514.38,9716827.22,9561000,9451000,9377000,9377000
CFIA,ISS04,30323064.69,37980656.59,39554277.93,43810570.97,41005235.82,39006000,41396983,39368000,39361000
CFIA,ISS05,17957832.35,17709551.06,26362441.86,21099079.14,43322492.97,18880324,19880000,18809000,18805000
CFIA,ISS06,7727441.53,9328750.87,10571261.62,10870759.53,6849964.3,10442000,10827000,10507000,10504000
CFIA,ISS07,48667008.96,48358700.21,46349346.81,55983447.59,54005028.31,43438000,44883000,43366074,43360452
CFIA,ISS08,14586036.08,13434837.38,16051780.72,15048941.87,13970389.73,13159000,13458000,13085000,13084000
CFIA,ISS09,729268.42,397743.47,800141.52,4808422.1,2628522.83,837000,935000,813000,813000
CFIA,ISS0Z,1815960.19,2102775.54,2125323.72,2230451.4,1982905.75,2514000,2651000,2524000,2523000
CGC,BGB01,-45430411.09,-19809242.97,-12961906.66,-14608251.4,-21147458.06,656824,1004910,1004910,0
CGC,BGB02,9859804.21,10785853.23,10368204.76,11199693.02,10842153.12,10584778,8027986,6762682,6762448
CGC,BGB03,2132108.11,2886501.38,3343975.7,3859598.84,3135569.5,633202,1211558,1061558,0
CGC,ISS00,21592592.39,22183002.43,22337460.38,24869016.08,24054720.1,295356,18045310,20010310,11679328
CH,BSD01,169208309.6,243231332,288850570.3,185104166,199632740.4,170551498,195248048,140009650,136835002
CH,BSD02,33856219.18,36848808.03,37810153.42,34027037.52,39524952.24,43701747,53610223,33293841,14941649
CH,BSD03,608352454.6,506066042.2,449473881.5,461633552.5,455111833.5,328016532,374257178,331411718,304656834
CH,BSE01,46369226.09,38512572.1,106805738.1,55448542.66,42230578.76,43697040,52294421,49363191,40803191
CH,BSE02,35476640.76,42521903.95,37761149.96,55946782.42,31205588.12,29893884,30450162,23430166,23430166
CH,BSE03,75130778.67,82980000.84,65871378.88,53600556.48,43261943.16,41489160,41261318,33539390,33539390
CH,BSE04,5080587.24,6212623.31,10267086.76,5613784.2,4722259.7,4331781,14315091,4214227,4214227
CH,BSF01,321270920.9,285863287.5,336607653,282740469.9,322663690,253589681,322938029,355569857,239069857
CH,BSG01,25132128.57,36213009.39,48312524.53,54171887.61,55238529.04,46596303,54836321,26355487,25853059
CH,BSG02,7490186.93,7352566.31,5622157.6,8496128.71,12690806.93,12127696,12168773,12167274,12167274
CH,BSG03,61981976.01,112969336.2,163770443,224912146.1,188352316.7,171504265,196161870,198121600,197121600
CH,BSG04,13133475.88,15611501.26,19926418.94,21201176.17,18204857.76,20506218,30964907,20307889,20307889
CH,BSH01,462296618.8,491573180.9,625652097.1,605631238.5,625485814.6,636203624,632213812,619900280,620815324
CH,ISS01,34867180.35,36632384.73,40553700.68,39042626.31,37089674.61,33211702,34146975,32752776,35067903
CH,ISS02,13742434.49,13120260.41,13397048.83,13874675.63,13699683.95,12954656,13170242,12848465,12847416
CH,ISS03,2180310.19,2619932.66,3745313.83,3479646.75,4135560.48,772824,722555,711698,710644
CH,ISS04,11032309.67,11446517.4,12974150.68,13247868.78,13529258.33,13194037,13134531,12553760,12439560
CH,ISS05,7242858.67,9545330.48,7476254.97,7965322.83,7832650.3,7945304,8770589,7588144,7523929
CH,ISS06,6953825.6,2916233.73,2394715.49,1859964.34,1453911.65,1920299,1863035,1775285,1774854
CH,ISS07,15136243.38,18671270.1,17491971.74,17617133.26,17262808.08,13981876,13711382,13222031,13157380
CH,ISS08,4378623.14,4097723.19,3945283.13,4585231.54,5386103.07,5281737,5391226,5039807,4979832
CH,ISS09,491602.43,614711.47,551857.84,687463.05,594686.65,538868,576976,534680,534680
CH,ISS0Z,737334.97,913649.6,1293486.73,1573900.25,1339726.48,1257308,1346270,1247581,1247581
CHRC,BSA01,4515622.61,5281354.83,6793072.18,7373685.26,6510598.35,4928351,5976730,5071160,5071160
CHRC,BSB01,11855772.66,12613874.77,12113006.13,13706078.72,13582070.45,13248610,13734341,13734342,13734342
CHRC,BSC01,4425403.59,7143054.38,8127230.25,8627465.67,8392073.63,9017399,8421165,8421165,8421165
CHRC,ISS00,10202360.2,10748566.06,12319350.58,15171243.67,13079349.3,10562770,11359262,10981602,10981602
CI,BGD01,92522938.46,123329957.6,232723889.7,346088581.7,187426764.7,130338071,243927277,215525559,194575879
CI,BGD02,38169128.98,47493536.15,61615427.78,78900683.64,104043059,84679301,79764103,53770415,48067258
CI,BGD03,68028468.67,60412655.24,79172340.67,95366276.21,117566019.5,105297153,103555973,92400293,90694771
CI,BGE01,61038672.78,84447037.78,92402740.12,125091443.5,111609336.2,96753103,86020009,78950465,72749922
CI,BGE02,27157000.77,37682220.71,54145492.2,61079993.43,58234246.26,60156041,60639629,51995394,47013327
CI,BGE03,62388970.06,77773495.9,87650672.75,94630798.53,88396305.25,94472625,81414386,69906668,64096454
CI,BGE04,17817089.53,19206233.92,23153410.05,28237180.93,23102995.43,22499229,25050497,22764732,21729680
CI,BGE05,137345271.7,296955738,1067193531,1052518757,639826882.8,713891057,515499178,366645831,357096497
CI,BGE06,440063571.2,404148798.4,903794804.2,1392784559,2287028675,214140412,1145717324,473923886,198764522
CI,BGE07,1488169552,1585362875,1750835368,1920541950,2052646434,2017133697,2085572778,1990333982,1965373737
CI,BGF01,83300128.27,77389508.49,94254592.16,117949954.1,101920316.9,89165068,97003461,98094918,97611252
CI,BGF02,307079051.5,251457202,317716768.2,126361976.2,120626724.8,41097803,20643448,7990270,1914466
CI,ISS01,60190685.58,65994259.72,68174081.89,94559885.3,100690117.9,71528703,75007370,66234558,66145894
CI,ISS02,23242691.62,25774291.1,31550371.77,38248704.33,37426772.59,35667723,41116700,33820948,33413737
CI,ISS03,14665871.27,25852790.7,30085425.18,37300650.59,44686470.42,41631425,40260316,39599054,44683513
CI,ISS04,37205928.79,38817219.49,46128061.9,72391416.19,72908048.46,67631947,62355543,57396382,54284884
CI,ISS05,38070997.63,35573948.75,41966975.75,59465599.85,54259472.28,43996240,45396079,42850763,43033807
CI,ISS06,8726111.04,9900941.95,7002225.25,12435843.03,19399521.76,13261012,12337830,10326645,9699896
CI,ISS07,126803089.3,163000436.8,184072312.8,209939711,233129711.6,200007564,304403023,262075525,148105388
CI,ISS08,24709899.51,17861844.91,29600312.05,24520644.48,20980323.79,47406588,37365391,35608124,34064076
CI,ISS09,1864984.36,1464664.31,2844799.58,1733081.22,29617282.95,1203904,8647459,1864774,1852649
CI,ISS0Z,1011947.51,1373622.78,3033366.52,4107627.06,3014413.88,2489959,2329878,2064395,1512114
CICS,BWV01,3369648.69,3252060.75,4759874.94,5741708.36,6404862.69,5869907,5882424,4745234,4745234
CICS,ISS00,1295594.19,1641713.92,1539943.68,2180959.53,1720046.46,1956636,1960808,1581745,1581745
CIHR,BUI01,859661436.8,848077595.4,819850501.9,835777600.9,871678226.7,850032505,895960348,931978121,992066225
CIHR,BUI02,70150951.72,64663940.26,72188425.01,76898334.3,93584181.71,76497203,99948694,116808469,129895934
CIHR,BUI03,540281992.6,436030213.3,404764962.3,388806156,411387136.4,396891643,332883346,335856226,305184533
CIHR,ISS01,10261518.87,10965616.76,12723290.59,14381363.75,16064702.99,16084897,14500011,14420128,13950532
CIHR,ISS02,4813748.74,5529990.59,6654940.14,7247579.29,6246322.76,6609701,6800238,6893843,6444602
CIHR,ISS03,201498.13,,,238326.18,236432.57,212943,223717,221159,214530
CIHR,ISS04,3154489.4,4326836.54,4483958.7,4815264.61,4275560.25,4279990,4483526,4365594,4308664
CIHR,ISS05,3236533.06,3245325.97,4240791.45,6871113.87,7350206.02,5348094,5832234,5730762,5653564
CIHR,ISS06,2132968.81,2220442.66,2353427.33,2106060.51,2409450.44,2170825,2182125,2166862,2091166
CIHR,ISS07,8132465.93,7814287.43,7871380.34,9112781.04,8913129.7,8751823,9462033,9395544,9095152
CIHR,ISS08,840016.18,808714.82,793555.83,1060725.35,1045856.42,1550448,1487410,963086,929419
CIHR,ISS09,223057.07,196553.55,219546.43,195642.35,180780.1,176873,218636,217114,209484
CIHR,ISS0Z,370882.64,419747.22,767127.73,945248.67,1000249.26,953775,996379,989417,954934
CMC,BRI00,81526259,84700406,77558634,85563916,83226822,,,,
CMHC,BGJ00,2869840192,3479275144,3095831446,2883481296,2740796522,,,,
CMHC,BGK00,2513790423,422990999.9,897525731.7,1354405846,1360786484,,,,
CMHC,BGL00,146869345.2,140264244.6,169347902.2,1192383344,1342006619,,,,
CMHR,BRL00,29187388,29336716,30816799,28794533,28589790,,,,
CMI,BRN00,10606268,9546694,8956694,10060894,10024370,,,,
CMN,BRQ00,34903027,35681183,33006375,32316345,36378308,,,,
CNEDA,BNL01,18917761.66,24599717.35,22625667.12,21600851.48,23027055.75,16780796,14266088,11283979,11508376
CNEDA,BNL02,68732301.55,50647678.52,68419622.69,50325390.7,42532569.86,42308688,39224955,38335375,22936688
CNEDA,BNL03,2331866.71,2682076.62,2783380.18,3481884.85,3558109.19,1942064,2378069,2378069,2477241.5
CNEDA,BNL04,2190244.33,2362729.79,2674421.09,2735376.83,3126960.05,1789872,2493502,2493501,2592673.5
CNEDA,ISS00,9047110.55,8079310.87,8574251.95,9214793.29,8731676.06,8566557,7958538,7268107,5270586
CNMI,BTV00,140567000,130809588,132120769,191685507,194973753,,,,
CPC,BUD00,22209960,22210000,22210000,22210000,22210000,,,,
CPCC,BWX01,7339868.19,11413895.55,13822041.98,24163380.72,24594938.67,22934689,13582593,13562267,13641543
CPCC,BWX02,2037763.33,2397015.11,1793149.74,1739641.27,2038198.58,1994321,1295029,1320117,1327834
CPCC,BWX03,,,,,,,11658569,12004110,11556620
CPCC,ISS00,12897639.38,13524387.49,18519728.56,11528676.11,9834174.04,10481143,8497168,9313384,9232382
CRRF,BYF00,,6180001,5115542,9000000,12092410,,,,
