Dept,Occ_Cat,Y1112,Y1213,Y1314,Y1415,Y1516,Five_year_avg_percent
PSST,Other,6,7,5,.,.,0.17822
PSST,Scientific and Professional,4,3,4,.,.,0.10891
RCMP,Administration and Foreign Service,2459,2366,2505,2747,2766,0.41092
RCMP,Administrative Support,3095,2997,2898,2816,2830,0.46829
RCMP,Executive,48,46,48,53,59,0.00813
RCMP,Operational,295,278,284,451,512,0.05823
RCMP,Other,53,37,57,69,73,0.00925
RCMP,Scientific and Professional,153,155,175,202,232,0.02934
RCMP,Technical,107,92,98,99,99,0.01584
RPSDP,Administration and Foreign Service,4,4,5,.,.,0.52
RPSDP,Executive,1,1,1,.,.,0.12
RPSDP,Other,.,3,1,.,.,0.16
RPSDP,Scientific and Professional,2,1,2,.,.,0.2
RSCT,Administration and Foreign Service,7,7,7,.,.,0.7
RSCT,Executive,1,1,1,.,.,0.1
RSCT,Other,1,.,.,.,.,0.03333
RSCT,Scientific and Professional,2,2,1,.,.,0.16667
SC,Administration and Foreign Service,1718,1348,1369,1434,1721,0.21991
SC,Administrative Support,825,608,571,566,892,0.10031
SC,Executive,89,82,79,79,78,0.01179
SC,Operational,28,24,23,18,57,0.00435
SC,Other,2486,1650,1956,1847,1865,0.28406
SC,Scientific and Professional,2682,2340,2432,2496,2683,0.36603
SC,Technical,99,79,76,92,122,0.01356
SCC,Administration and Foreign Service,102,94,93,89,92,0.43278
SCC,Administrative Support,24,23,25,24,25,0.11142
SCC,Executive,10,10,9,9,9,0.04328
SCC,Operational,2,2,2,2,2,0.00921
SCC,Other,14,14,16,20,16,0.07366
SCC,Scientific and Professional,73,73,74,69,68,0.32873
SCC,Technical,1,.,.,.,.,0.00092
SHARE,Administration and Foreign Service,.,4708,4800,4717,4651,0.89519
SHARE,Administrative Support,.,151,143,111,125,0.02514
SHARE,Executive,.,92,116,110,101,0.01987
SHARE,Operational,.,31,29,35,29,0.00588
SHARE,Other,.,177,152,128,103,0.02656
SHARE,Scientific and Professional,.,48,57,51,62,0.01034
SHARE,Technical,.,92,97,84,86,0.01703
SIRC,Other,17,15,16,18,20,1
SSHRC,Other,213,199,205,209,210,1
SWC,Administration and Foreign Service,66,68,66,61,63,0.67641
SWC,Administrative Support,5,6,4,4,2,0.04384
SWC,Executive,5,4,3,5,6,0.04802
SWC,Operational,.,1,.,.,.,0.00209
SWC,Other,6,2,2,1,2,0.02714
SWC,Scientific and Professional,16,19,23,21,18,0.20251
TBC,Administration and Foreign Service,1272,1142,1064,1055,1054,0.60728
TBC,Administrative Support,74,61,62,57,55,0.03359
TBC,Executive,229,188,188,177,180,0.10457
TBC,Operational,4,4,2,2,2,0.00152
TBC,Other,56,54,54,62,42,0.02913
TBC,Scientific and Professional,421,398,396,401,391,0.21815
TBC,Technical,17,13,12,7,4,0.00576
TC,Administration and Foreign Service,1926,1681,1655,1821,1816,0.35205
TC,Administrative Support,584,497,539,563,468,0.10487
TC,Executive,198,180,173,177,191,0.03636
TC,Operational,51,48,52,57,55,0.0104
TC,Other,86,70,89,93,41,0.01499
TC,Scientific and Professional,824,722,748,835,898,0.15931
TC,Technical,1701,1580,1515,1659,1685,0.32202
TRC,Administration and Foreign Service,32,15,10,6,.,0.65625
TRC,Administrative Support,5,3,2,.,.,0.10417
TRC,Executive,4,3,1,1,.,0.09375
TRC,Other,2,2,2,2,.,0.08333
TRC,Scientific and Professional,4,2,.,.,.,0.0625
VAC,Administration and Foreign Service,2094,1882,1675,1659,1814,0.52997
VAC,Administrative Support,584,544,434,411,451,0.1408
VAC,Executive,56,50,59,56,71,0.01696
VAC,Operational,461,444,393,397,425,0.12314
VAC,Other,108,100,93,94,77,0.02742
VAC,Scientific and Professional,484,534,485,508,529,0.14754
VAC,Technical,52,48,49,49,46,0.01417
WDO,Administration and Foreign Service,279,234,215,203,194,0.6773
WDO,Administrative Support,48,26,26,22,19,0.08489
WDO,Executive,29,23,25,22,22,0.07285
WDO,Other,21,15,18,16,20,0.05418
WDO,Scientific and Professional,42,37,34,34,37,0.11078
