"deptcode","activitycode","FTEActual_2012","FTEActual_2013","FTEActual_2014","FTEActual_2015","FTEActual_2016","FTEPlanned_2017","FTEPlanned_2018","FTEPlanned_2019","PlannedFTE_1617"
"NRC","BMK00",896,".",".",".",".",".",".",".","."
"NRC","BML00",370,".",".",".",".",".",".",".","."
"NRC","BMM00",328,338.9,356.9,356,0,411,409,409,410
"NRC","BMN00",624,".",".",".",".",".",".",".","."
"NRC","CTA00",".",".",1999.6,2055.4,2186.7,1831,1875,1850,2088.3
"NRC","ISC00",879,931.6,950.7,980,1023.4,1005,1005,1005,972.3
"NSERC","APO00",10,".",".",".",".",".",".",".","."
"NSERC","APP00",1,".",".",".",".",".",".",".","."
"NSERC","APQ00",53,".",".",".",".",".",".",".","."
"NSERC","APR00",23,".",".",".",".",".",".",".","."
"NSERC","APS00",72,".",".",".",".",".",".",".","."
"NSERC","APU00",1,".",".",".",".",".",".",".","."
"NSERC","APV00",21,".",".",".",".",".",".",".","."
"NSERC","APW00",28,".",".",".",".",".",".",".","."
"NSERC","CBA00",".",37,35,43,44,45,45,45,36
"NSERC","CBB00",".",54,55,82,85,89,89,89,62
"NSERC","CBC00",".",121,119,147,146,150,150,150,132
"NSERC","ISC00",171,175,174,131,137,133,133,133,164
"OAG","AHF00",603,573,547,546,555,560,560,560,0
"OCI","AYD00",29,31,31,31,32,32,32,32,31
"OCI","ISC00",5,5,5,5,4,4,4,4,"."
"OCOL","AWF00",57,62,65,64,63,64,64,64,61
"OCOL","AWG00",54,58,55,53,54,57,57,57,53
"OCOL","ISC00",49,47,46,44,41,42,42,42,46
"OCSEC","ATG00",6,8.5,7.5,8.5,8.5,9,9,9,8.5
"OCSEC","ISC00",2,3,3,3,3,3,3,3,3
"ODPP","BIT00",169,167,158,153,177,155,155,155,160
"ODPP","BJF00",665,673,677,687,667,700,705,705,691
"ODPP","DAG00",".",".",6,12,12,22,22,22,12
"ODPP","DAH00",".",".",4,8,8,".",".",".",8
"ODPP","ISC00",115,126,117,112,116,118,118,118,119
"OICC","BJH00",2,3,2,3,3,1,1,1,1
"OICC","BJQ00",16,14,18,22,15,22,23,23,23
"OICC","BKM00",16,11,".",".",".",".",".",".","."
"OICC","BKN00",44,34,".",".",".",".",".",".","."
"OICC","BKO00",18,14,".",".",".",".",".",".","."
"OICC","BKP00",12,9,".",".",".",".",".",".","."
"OICC","BKQ00",9,7,".",".",".",".",".",".","."
"OICC","BKR00",3,1,".",".",".",".",".",".","."
"OICC","BKS00",0,0,".",".",".",".",".",".","."
"OICC","CSA00",".",".",24,27,34,46,51,23,24
"OICC","CSB00",".",".",57,68,75,84,81,73,72
"OICC","CSC00",".",".",25,32,17,15,15,10,16
"OICC","CSD00",".",".",37,44,47,89,89,3,74
"OICC","ISC00",200,192,170,161.1,194,158,155,157,171
"OPSIC","BLB00",24,23,18,19,20,23,23,23,23
"OPSIC","ISC00",8,7,8,7,6,7,7,7,7
"ORL","BIO00",7,7,7,7,7,".",".",".",7
"ORL","BIP00",6,6,7,7,7,".",".",".",7
"ORL","BIQ00",8,7,8,".",".",".",".",".","."
