"org_id","fiscal_year","calendar_month","is_in_estimates","is_budgetary","covid_measure_id","Stat","Vote"
280,2020,03,1,1,"COV006",58000000.00,14092048.00
280,2020,03,1,1,"COV010",14301082.00,15126606.00
280,2020,03,1,1,"COV023",0.00,8500000.00
280,2020,03,1,1,"COV037",4200771.00,6.00
280,2020,03,1,1,"COV079",98937789.00,379852243.00
280,2020,03,1,1,"COV082",1653892549.00,713287600.00
280,2020,03,1,1,"COV088",0.00,8216080.00
280,2020,03,1,1,"COV112",52132.00,1355809.00
280,2020,03,1,1,"COV113",7989670.00,102458299.00
280,2020,03,1,1,"COV118",54289765.00,174206788.00
280,2020,03,1,1,"COV122",0.00,7341233.00
280,2020,03,1,0,"COV124",5950000.00,0.00
135,2020,03,1,1,"COV041",39459600.00,59885207.00
313,2020,03,1,1,"COV079",1436201.68,5563798.32
288,2020,03,1,1,"COV154",4287.00,65876.00
305,2020,03,1,1,"COV013",1100000.00,0.00
305,2020,03,1,1,"COV024",16000.00,0.00
305,2020,03,1,1,"COV086",2400000.00,0.00
305,2020,03,1,1,"COV104",9964000.00,0.00
306,2020,03,1,1,"COV024",32211469.00,0.00
306,2020,03,1,1,"COV067",324840117.00,109618390.00
246,2020,03,1,1,"COV034",30000000.00,10000000.00
246,2020,03,1,1,"COV089",40161324.00,8700000.00
326,2020,03,1,1,"COV114",394865.48,3200059.02
138,2020,03,1,1,"COV101",46682.22,68537240.07
139,2020,03,1,1,"COV093",19999420.00,0.00
334,2020,03,1,1,"COV153",0.00,90426025.00
140,2020,03,1,1,"COV002",0.00,6013896.00
140,2020,03,1,1,"COV010",0.00,8000000.00
140,2020,03,1,1,"COV043",463363770.00,142778267.00
140,2020,03,1,1,"COV050",0.00,5000000.00
140,2020,03,1,1,"COV065",9031172.00,1421348.00
12,2021,03,1,1,"COV043",0.00,22284124.00
12,2021,03,1,1,"COV134",0.00,39880579.00
12,2021,03,1,1,"COV145",0.00,631030.00
12,2021,03,1,1,"COV204",0.00,22158617.00
12,2021,03,1,1,"COV215",0.00,5512971.00
14,2021,03,1,1,"COV200",0.00,27600000.00
1,2021,03,1,1,"COV038",19370.24,74564.49
1,2021,03,1,1,"COV119",0.00,10031412.00
1,2021,03,1,1,"COV208",145681.05,130986875.47
1,2021,03,1,1,"COV225",451132.21,44679716.00
118,2021,03,1,1,"COV154",90974.88,3315990.00
51,2021,03,1,1,"COV224",0.00,6650000.00
53,2021,03,1,1,"COV218",0.00,21000000.00
26,2021,03,1,1,"COV248",707805.92,11540856.92
29,2021,03,1,1,"COV131",0.00,110489911.00
46,2021,03,0,1,"COV015",21483819000.00,0.00
46,2021,03,1,1,"COV087",29463575.00,144403531.00
46,2021,03,0,1,"COV205",3701804000.00,0.00
315,2021,03,1,1,"COV098",0.00,5726646.55
122,2021,03,1,1,"COV131",247253.00,63311786.00
122,2021,03,1,1,"COV202",149978.00,2246538.00
122,2021,03,1,1,"COV215",449517.00,57937752.00
122,2021,03,1,1,"COV217",42211.00,7110874.00
122,2021,03,1,1,"COV219",510796.00,204363589.00
123,2021,03,1,1,"COV248",652310.00,5317268.00
74,2021,03,1,1,"COV082",0.00,126040000.00
74,2021,03,1,1,"COV211",0.00,650529.00
82,2021,03,1,1,"COV216",0.00,4912000.00
42,2021,03,1,1,"COV024",0.00,2000000.00
42,2021,03,1,1,"COV091",0.00,139402857.58
42,2021,03,1,1,"COV207",0.00,7081632.00
81,2021,03,1,1,"COV216",3900000.00,0.00
84,2021,03,1,1,"COV216",0.00,1435000.00
85,2021,03,1,1,"COV216",0.00,8000000.00
