dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
PSST,EX 01,3,3,1,.,.,0.069307
PSST,EX 03,1,1,1,.,.,0.029703
PSST,Non-EX,34,28,29,.,.,0.90099
RCMP,EX 01,33,32,33,34,42,0.005567
RCMP,EX 02,8,10,9,14,12,0.001696
RCMP,EX 03,4,3,4,4,3,0.000576
RCMP,EX 04,2,1,1,.,1,0.00016
RCMP,EX 05,1,.,1,1,1,0.000128
RCMP,Non-EX,6162,5925,6017,6384,6512,0.991873
RPSDP,EX 03,1,1,1,.,.,0.12
RPSDP,Non-EX,6,8,8,.,.,0.88
RSCT,EX 03,1,1,1,.,.,0.1
RSCT,Non-EX,10,9,8,.,.,0.9
SC,EX 01,10,9,9,12,14,0.001565
SC,EX 02,56,49,47,44,43,0.006925
SC,EX 03,17,18,18,18,16,0.002521
SC,EX 04,6,6,5,5,5,0.000782
SC,Non-EX,7838,6049,6427,6453,7340,0.988208
SCC,EX 01,4,4,3,3,3,0.01565
SCC,EX 02,1,1,1,1,.,0.00368
SCC,EX 03,.,.,.,.,1,0.00092
SCC,Non-EX,221,211,215,209,208,0.97974
SHARE,EX 01,.,33,37,40,38,0.007019
SHARE,EX 02,.,23,42,40,35,0.006639
SHARE,EX 03,.,30,30,26,24,0.005217
SHARE,EX 04,.,4,3,1,2,0.000474
SHARE,EX 05,.,2,4,3,2,0.000522
SHARE,Non-EX,.,5207,5278,5126,5056,0.980129
SIRC,EX 01,1,1,1,1,1,0.05814
SIRC,EX 02,1,.,.,.,.,0.011628
SIRC,EX 04,1,1,1,1,1,0.05814
SIRC,Non-EX,14,13,14,16,18,0.872093
SSHRC,EX 01,6,6,7,5,6,0.028958
SSHRC,EX 02,3,4,4,4,4,0.01834
SSHRC,EX 03,.,1,.,3,2,0.005792
SSHRC,EX 04,2,2,1,.,1,0.005792
SSHRC,EX 05,1,.,.,1,1,0.002896
SSHRC,Non-EX,201,186,193,196,196,0.938224
SWC,EX 01,2,1,.,1,2,0.012526
SWC,EX 02,3,3,3,4,4,0.035491
SWC,Non-EX,93,96,95,87,85,0.951983
TBC,EX 01,110,88,94,83,83,0.049783
TBC,EX 02,49,38,35,34,32,0.020435
TBC,EX 03,50,43,38,37,41,0.022717
TBC,EX 04,9,9,9,13,13,0.005761
TBC,EX 05,11,10,12,10,11,0.00587
TBC,Non-EX,1844,1672,1590,1584,1548,0.895435
TC,EX 01,114,101,96,99,105,0.020373
TC,EX 02,49,46,45,46,47,0.009218
TC,EX 03,29,28,28,27,31,0.005657
TC,EX 04,2,1,2,3,3,0.000435
TC,EX 05,4,4,2,2,4,0.000633
TC,Non-EX,5172,4598,4598,5028,4964,0.963684
TRC,EX 01,3,2,.,.,.,0.052083
TRC,EX 03,1,1,1,1,.,0.041667
TRC,Non-EX,43,22,14,8,.,0.90625
VAC,EX 01,26,26,33,26,34,0.008422
VAC,EX 02,14,12,11,10,13,0.003485
VAC,EX 03,10,7,11,12,14,0.003137
VAC,EX 04,3,2,2,4,4,0.000871
VAC,EX 05,1,1,.,.,.,0.000116
VAC,Non-EX,3785,3554,3131,3122,3348,0.983968
WDO,EX 01,12,9,9,9,10,0.0295
WDO,EX 02,9,7,10,7,7,0.024082
WDO,EX 03,3,2,1,1,1,0.004816
WDO,EX 04,5,5,5,5,4,0.014449
WDO,Non-EX,390,312,293,275,270,0.927152
