DeptCode,Tenure,Y1112,Y1213,Y1314,Y1415,Y1516,Five_year_avg_percent
IPC,Indeterminate,231,233,232,244,220,0.87022
IPC,Student,5,3,1,4,8,0.01575
IPC,Term,11,9,12,10,9,0.03826
IRB,Casual,49,84,81,91,84,0.07774
IRB,Indeterminate,842,825,781,714,718,0.77538
IRB,Student,8,6,12,14,22,0.01239
IRB,Term,161,119,109,135,149,0.13449
ISC,Casual,62,69,85,120,125,0.01900
ISC,Indeterminate,4990,4565,4457,4438,4406,0.94217
ISC,Student,54,49,79,80,139,0.01653
ISC,Term,135,99,97,104,106,0.02230
JJJ,Indeterminate,1104,1100,1110,1144,1141,0.99982
JJJ,Term,1,.,.,.,.,0.00018
JUS,Casual,109,66,126,132,125,0.02388
JUS,Indeterminate,4638,4328,4134,4055,4007,0.90567
JUS,Student,45,22,32,34,44,0.00758
JUS,Term,338,309,282,255,285,0.06287
LAC,Casual,47,44,135,105,71,0.07937
LAC,Indeterminate,1002,802,776,776,744,0.80948
LAC,Student,18,8,18,18,9,0.01402
LAC,Term,78,59,114,127,114,0.09714
MPCC,Casual,1,2,1,2,1,0.07292
MPCC,Indeterminate,14,14,11,19,22,0.83333
MPCC,Student,.,.,.,.,1,0.01042
MPCC,Term,1,2,2,1,2,0.08333
ND,Casual,867,991,821,913,1058,0.03848
ND,Indeterminate,24774,22838,21350,20849,20889,0.91619
ND,Student,322,200,204,180,304,0.01001
ND,Term,1214,910,771,669,703,0.03531
NEB,Casual,6,4,3,5,12,0.01391
NEB,Indeterminate,369,381,399,403,417,0.91327
NEB,Student,2,2,5,1,4,0.00649
NEB,Term,19,22,28,38,36,0.06633
NFB,Indeterminate,359,351,340,331,332,0.81805
NFB,Term,66,115,80,63,57,0.18195
NPB,Casual,18,27,19,23,34,0.05366
NPB,Indeterminate,346,345,357,349,335,0.76807
NPB,Student,4,3,7,9,6,0.01286
NPB,Term,60,79,76,86,72,0.16541
NR,Casual,160,231,272,298,290,0.05794
NR,Indeterminate,4162,3813,3634,3508,3506,0.86254
NR,Student,167,182,172,166,169,0.03965
NR,Term,170,135,153,177,226,0.03988
NRC,Casual,.,.,.,.,1,0.00005
NRC,Indeterminate,3288,3011,3041,3067,3149,0.84534
NRC,Student,60,39,48,46,.,0.01049
NRC,Term,597,475,445,505,630,0.14411
NRTEE,Indeterminate,28,3,.,.,.,0.88571
NRTEE,Term,4,.,.,.,.,0.11429
NSERC,Indeterminate,366,344,341,349,360,0.83730
NSERC,Student,12,11,15,20,19,0.03663
NSERC,Term,46,52,53,49,65,0.12607
OAG,Casual,2,1,3,1,3,0.00333
OAG,Indeterminate,590,552,536,523,525,0.90746
OAG,Student,9,9,9,15,23,0.02164
OAG,Term,52,49,33,32,37,0.06758
OCI,Casual,.,1,1,1,2,0.02890
OCI,Indeterminate,26,30,33,31,32,0.87861
OCI,Student,1,1,5,2,2,0.06358
OCI,Term,1,1,1,1,1,0.02890
OCOL,Casual,8,6,11,9,10,0.05276
OCOL,Indeterminate,150,146,154,155,148,0.90288
OCOL,Student,5,5,2,3,3,0.02158
OCOL,Term,2,5,4,5,3,0.02278
