Dept,avgage,Y1112,Y1213,Y1314,Y1415,Y1516
PCC,avgage,42.933272,42.522166,42.395384,42.930405,42.024366
PCO,avgage,42.398105,43.549442,43.56675,43.435782,43.721966
PHAC,avgage,42.050093,42.828723,42.76571,43.012397,43.357296
PMPRB,avgage,45.137857,45.002075,44.356545,43.584666,42.00855
PSC,avgage,43.563835,44.314867,45.048709,44.764336,45.072361
PSEP,avgage,41.263917,41.175755,41.690775,42.014304,41.025573
PSSRB,avgage,41.986818,42.827708,42.915054,.,.
PSST,avgage,49.349473,51.14875,50.575806,.,.
RCMP,avgage,44.650645,45.239433,45.608222,45.604123,45.626828
RPSDP,avgage,44.665714,35.237777,42.09,.,.
RSCT,avgage,38.571818,40.506,39.286666,.,.
SC,avgage,44.045319,44.826781,43.732971,44.323427,44.150756
SCC,avgage,42.195398,43.102175,42.460639,42.400657,42.298301
SHARE,avgage,.,44.931383,45.294386,45.770091,45.966619
SIRC,avgage,44.044705,43.372666,43.525625,42.821111,41.793
SSHRC,avgage,41.496291,41.409045,41.705512,42.427894,42.511238
SWC,avgage,43.039183,42.3067,42.510408,42.832608,43.410109
TBC,avgage,42.163844,42.64808,42.751338,43.096723,43.109218
TC,avgage,45.913106,46.605087,46.639696,46.186059,46.344753
TRC,avgage,46.697659,48.526,53.523333,54.793333,.
VAC,avgage,46.626152,46.895824,47.024488,47.402006,46.999815
WDO,avgage,44.003102,44.619343,44.773584,44.498686,44.151643
ZGOC,avgage,44.422463,44.797499,44.894514,44.99079,45.01903
