DeptCode,Age,Y1112,Y1213,Y1314,Y1415,Y1516,Five_year_avg_percent
NSERC,fre,204,194,195,193,215,0.47621
NSERC,unknown,12,10,10,9,.,0.01951
OAG,eng,356,335,325,318,331,0.55426
OAG,fre,297,276,256,253,257,0.44574
OCI,eng,16,19,21,19,20,0.54913
OCI,fre,12,14,19,16,17,0.45087
OCOL,eng,38,38,48,44,31,0.23861
OCOL,fre,127,124,123,128,133,0.76139
ODPP,eng,728,755,766,758,775,0.7894
ODPP,fre,187,184,187,195,195,0.19787
ODPP,unknown,15,15,16,15,.,0.01273
OICC,eng,215,187,176,215,201,0.60279
OICC,fre,133,121,112,139,150,0.39721
OPSIC,eng,15,17,14,13,14,0.52143
OPSIC,fre,15,14,14,12,12,0.47857
ORL,eng,12,12,13,14,13,0.4812
ORL,fre,16,14,13,13,13,0.5188
OSFI,eng,158,192,262,287,286,0.35996
OSFI,fre,60,72,70,75,78,0.10784
OSFI,unknown,385,374,352,338,303,0.5322
PCA,eng,2615,2047,2353,2557,2913,0.72591
PCA,fre,802,664,745,827,969,0.23298
PCA,unknown,404,212,77,10,4,0.04111
PCC,eng,41,45,51,59,55,0.77231
PCC,fre,14,15,14,15,16,0.22769
PCO,eng,484,400,404,394,394,0.54105
PCO,fre,408,354,347,334,312,0.45739
PCO,unknown,.,.,.,.,6,0.00156
PHAC,eng,2286,1752,1799,1830,1861,0.82665
PHAC,fre,492,340,354,345,338,0.16216
PHAC,unknown,1,71,22,11,24,0.01119
PMPRB,eng,35,33,39,42,44,0.6587
PMPRB,fre,21,18,14,18,25,0.32765
PMPRB,unknown,.,2,2,.,.,0.01365
PSC,eng,444,381,305,313,312,0.4328
PSC,fre,529,483,430,425,424,0.56498
PSC,unknown,2,1,1,.,5,0.00222
PSEP,eng,793,790,750,679,757,0.69991
PSEP,fre,319,321,307,299,365,0.29916
PSEP,unknown,1,1,.,.,3,0.00093
PSSRB,eng,41,46,46,.,.,0.48364
PSSRB,fre,47,50,45,.,.,0.51636
PSST,eng,10,9,8,.,.,0.26733
PSST,fre,28,23,23,.,.,0.73267
RCMP,eng,5001,4734,4853,5208,5490,0.80905
RCMP,fre,1164,1084,1079,1104,1064,0.17582
RCMP,unknown,45,153,133,125,17,0.01513
RPSDP,sup,7,9,9,.,.,1
RSCT,sup,11,10,9,.,.,1
SC,eng,5239,3976,4285,4399,5081,0.66582
SC,fre,2550,2040,2113,2073,2308,0.32115
SC,unknown,138,115,108,60,29,0.01304
SCC,eng,89,92,87,85,84,0.40239
SCC,fre,137,124,132,128,128,0.59761
SHARE,eng,.,3378,3394,3313,3258,0.63279
SHARE,fre,.,1886,1979,1906,1880,0.36285
SHARE,unknown,.,35,21,17,19,0.00436
SIRC,eng,.,.,11,11,12,0.39535
SIRC,fre,.,.,5,7,8,0.23256
SIRC,sup,17,15,.,.,.,0.37209
SSHRC,eng,110,109,111,118,115,0.54344
SSHRC,fre,98,88,93,89,95,0.44691
SSHRC,unknown,5,2,1,2,.,0.00965
SWC,eng,46,49,51,43,43,0.48434
SWC,fre,51,50,46,49,48,0.50939
SWC,unknown,1,1,1,.,.,0.00626
TBC,eng,1268,1140,1100,1048,1045,0.6088
TBC,fre,805,720,677,712,672,0.38978
TBC,unknown,.,.,1,1,11,0.00141
TC,eng,3934,3458,3456,3763,3768,0.72707
TC,fre,1419,1306,1302,1429,1384,0.27059
TC,unknown,17,14,13,13,2,0.00233
TRC,eng,.,.,.,9,.,0.09375
TRC,sup,47,25,15,.,.,0.90625
VAC,eng,2518,2338,2046,2027,2185,0.64556
VAC,fre,1317,1260,1138,1143,1199,0.35182
VAC,unknown,4,4,4,4,29,0.00261
WDO,eng,388,310,294,275,267,0.92354
WDO,fre,29,23,22,20,25,0.07164
WDO,unknown,2,2,2,2,.,0.00482
