dept_code,dimension,2017,2018,2019,2020,2021,avg_share
HRSD,ind,17613.0,18761.0,20127.0,20987.0,23715.0,0.7584157673860911
HRSD,stu,458.0,550.0,385.0,458.0,516.0,0.017738309352517984
HRSD,ter,4955.0,4621.0,4033.0,4609.0,7012.0,0.18907374100719423
IJC,cas,3.0,1.0,,,1.0,0.03164556962025317
IJC,ind,24.0,23.0,24.0,25.0,24.0,0.759493670886076
IJC,stu,2.0,3.0,3.0,5.0,3.0,0.10126582278481014
IJC,ter,3.0,4.0,3.0,4.0,3.0,0.10759493670886076
INAC,cas,244.0,254.0,287.0,266.0,94.0,0.0515394310406914
INAC,ind,3990.0,4153.0,4258.0,4576.0,1780.0,0.8443014043932302
INAC,na,,1.0,,,,4.501260352898812e-05
INAC,stu,252.0,247.0,240.0,263.0,110.0,0.05005401512423479
INAC,ter,222.0,276.0,302.0,313.0,88.0,0.054060136838314725
INDSC,cas,,,,,243.0,0.03643178410794603
INDSC,ind,,,,,5676.0,0.8509745127436282
INDSC,stu,,,,,146.0,0.021889055472263868
INDSC,ter,,,,,605.0,0.09070464767616192
IOG,cas,2.0,4.0,4.0,5.0,6.0,0.04783599088838268
IOG,ind,75.0,72.0,74.0,73.0,73.0,0.8359908883826879
IOG,ter,11.0,12.0,9.0,10.0,9.0,0.11617312072892937
IPC,cas,12.0,12.0,14.0,23.0,11.0,0.05164992826398852
IPC,ind,225.0,221.0,210.0,233.0,269.0,0.830703012912482
IPC,stu,7.0,6.0,11.0,14.0,13.0,0.036585365853658534
IPC,ter,17.0,17.0,17.0,32.0,30.0,0.08106169296987088
IRB,cas,68.0,107.0,203.0,194.0,257.0,0.114093036058354
IRB,ind,759.0,767.0,793.0,911.0,955.0,0.5759702725020645
IRB,stu,20.0,13.0,21.0,26.0,15.0,0.013074593999449493
IRB,ter,184.0,200.0,396.0,611.0,766.0,0.29686209744013214
ISC,cas,166.0,178.0,237.0,154.0,192.0,0.034630902570233116
ISC,ind,4501.0,4646.0,4809.0,4940.0,4998.0,0.8926329946204424
ISC,stu,142.0,159.0,225.0,196.0,268.0,0.03698445905558877
ISC,ter,138.0,163.0,188.0,226.0,242.0,0.03575164375373581
JJJ,ind,1128.0,1165.0,1198.0,1204.0,1209.0,1.0
JUS,cas,97.0,103.0,149.0,115.0,85.0,0.023393557184250898
JUS,ind,4012.0,4059.0,4143.0,4354.0,4507.0,0.8980313618544402
JUS,stu,45.0,60.0,74.0,56.0,52.0,0.012229418783023693
JUS,ter,307.0,310.0,293.0,319.0,328.0,0.06634566217828533
LAC,cas,67.0,38.0,63.0,25.0,6.0,0.041771620486985725
LAC,ind,765.0,779.0,806.0,856.0,833.0,0.8478169605373636
LAC,stu,15.0,16.0,19.0,11.0,10.0,0.014903442485306465
LAC,ter,83.0,94.0,93.0,108.0,77.0,0.09550797649034426
MPCC,cas,1.0,2.0,1.0,3.0,2.0,0.07258064516129033
MPCC,ind,22.0,15.0,21.0,19.0,21.0,0.7903225806451614
MPCC,stu,,,1.0,4.0,2.0,0.0564516129032258
MPCC,ter,2.0,1.0,2.0,2.0,3.0,0.08064516129032258
ND,cas,728.0,824.0,781.0,638.0,566.0,0.02830754948018791
ND,ind,21305.0,21818.0,23051.0,24046.0,24612.0,0.9190309646335705
ND,stu,376.0,545.0,488.0,455.0,406.0,0.01816741230422012
ND,ter,769.0,837.0,958.0,908.0,838.0,0.03449407358202146
NEB,cas,4.0,8.0,9.0,7.0,15.0,0.017423014586709886
NEB,ind,422.0,415.0,421.0,435.0,453.0,0.8695299837925445
NEB,stu,,,1.0,,3.0,0.0016207455429497568
NEB,ter,30.0,54.0,48.0,61.0,82.0,0.11142625607779579
NFB,ind,334.0,350.0,346.0,347.0,359.0,0.8953068592057761
NFB,ter,37.0,49.0,46.0,41.0,30.0,0.10469314079422383
NPB,cas,23.0,31.0,22.0,17.0,15.0,0.046411688869789434
NPB,ind,356.0,354.0,357.0,396.0,389.0,0.7958745165449076
NPB,stu,4.0,8.0,11.0,6.0,3.0,0.013751611516974648
NPB,ter,65.0,60.0,72.0,66.0,72.0,0.14396218306832834
NR,cas,233.0,274.0,289.0,225.0,245.0,0.05643723252496434
NR,ind,3621.0,3596.0,3698.0,3828.0,3929.0,0.8323823109843083
NR,stu,130.0,160.0,160.0,147.0,135.0,0.03263195435092725
NR,ter,280.0,328.0,404.0,374.0,376.0,0.07854850213980029
NRC,ind,3236.0,3297.0,3356.0,3498.0,3639.0,0.8350990778889542
NRC,na,3.0,1.0,4.0,,,0.00039238767902687857
NRC,stu,72.0,62.0,170.0,213.0,247.0,0.037473023347066904
NRC,ter,553.0,511.0,528.0,504.0,494.0,0.12703551108495192
NSERC,cas,,,,10.0,17.0,0.011198672749896312
NSERC,ind,367.0,373.0,383.0,401.0,411.0,0.8025715470759023
NSERC,stu,11.0,20.0,17.0,32.0,26.0,0.043965159684778106
NSERC,ter,64.0,54.0,75.0,68.0,82.0,0.14226462048942348
NSICP,ind,,,4.0,8.0,6.0,0.9
NSICP,ter,,,1.0,1.0,,0.1
OAG,cas,,3.0,5.0,14.0,,0.006855718292302898
OAG,ind,529.0,525.0,519.0,548.0,664.0,0.8678716110937986
OAG,na,2.0,,1.0,,,0.0009348706762231223
OAG,stu,30.0,30.0,29.0,33.0,26.0,0.04612028669367404
OAG,ter,56.0,45.0,47.0,44.0,59.0,0.07821751324400124
OCI,cas,1.0,1.0,,2.0,,0.021505376344086027
OCI,ind,33.0,29.0,38.0,34.0,36.0,0.913978494623656
OCI,stu,2.0,,,1.0,1.0,0.021505376344086027
OCI,ter,,3.0,3.0,1.0,1.0,0.04301075268817205
