"DeptCode","ActivityCode","AuthorityType","Expenditures_2015","Expenditures_2016"
"FO","HGY00","V",27195645.68,27949250.72
"FO","ISC00","S",21277941.35,20119335.39
"FO","ISC00","V",323062969.28,377984606.50
"FO","LJA00","S",1049416.38,1217013.37
"FO","LJA00","V",16770466.11,33899773.11
"FO","LJC00","S",1539059.23,1547408.31
"FO","LJC00","V",29565548.05,30802212.81
"FO","LJD00","S",4519818.07,3825467.25
"FO","LJD00","V",37737020.32,35102903.49
"FO","LJE00","S",622896.74,608180.20
"FO","LJE00","V",6489050.74,6925644.83
"FO","LJF00","S",30611005.15,32030681.49
"FO","LJF00","V",748307285.78,724111389.04
"FO","LJG00","S",9772900.95,9247177.63
"FO","LJG00","V",93491476.37,107981560.63
"FO","LJH00","S",1476370.12,1899251.51
"FO","LJH00","V",14135799.52,14880731.01
"FO","LJK00","S",2877813.26,2747650.99
"FO","LJK00","V",25322971.88,28259463.02
"FO","LJL00","S",1385552.16,1330080.20
"FO","LJL00","V",13691844.78,16827964.31
"FORDQ","BNI00","S",1565338.59,1205141.19
"FORDQ","BNI00","V",146011573.96,175110545.45
"FORDQ","BNJ00","S",260889.76,311004.15
"FORDQ","BNJ00","V",33349116.53,34887139.41
"FORDQ","BNK00","S",582423.18,777510.24
"FORDQ","BNK00","V",59598433.72,85126881.76
"FORDQ","ISC00","S",1661391.61,1621486.55
"FORDQ","ISC00","V",16167832.75,16912924.76
"FTRAC","BNG00","S",2150248.71,2109278.20
"FTRAC","BNG00","V",22823004.48,24975046.02
"FTRAC","BNH00","S",2150248.71,2109278.20
"FTRAC","BNH00","V",19930863.36,18243765.71
"FTRAC","ISC00","S",758911.28,744450.95
"FTRAC","ISC00","V",7139114.63,7224705.74
"GG","AKC00","S",2227171.13,2195539.03
"GG","AKC00","V",13793787.90,13801109.65
"GG","ISC00","S",671728.82,633165.34
"GG","ISC00","V",5625403.77,6033271.38
"GSC","AZA00","S",24329193.55,12209518.81
"GSC","AZA00","V",127228338.01,125783758.08
"GSC","AZN00","S",18219593.39,20919392.94
"GSC","AZN00","V",110735299.84,114482838.42
"GSC","BEQ00","S",4708344.61,12621986.45
"GSC","BEQ00","V",2107596766.64,2446368347.57
"GSC","BEU00","S",3696776.00,3412096.31
"GSC","BEU00","V",106211805.17,101079479.84
"GSC","BEW00","S",-3838831.57,-6767343.58
"GSC","BEW00","V",55138099.23,59714210.52
"GSC","BEX00","S",5103557.49,6874373.74
"GSC","BEX00","V",19434151.39,24598279.88
"GSC","BEY00","S",407575.09,329742.19
"GSC","BEY00","V",3422433.47,2928088.59
"GSC","CUA00","S",4223483.26,4014058.73
"GSC","CUA00","V",16049880.35,14301301.59
"GSC","ISC00","S",34164118.28,33696895.10
"GSC","ISC00","V",196485125.56,228859681.85
"H","AKR00","S",8021047.32,9946036.57
"H","AKR00","V",79538362.94,74916176.09
"H","AKS00","S",6094205.26,5916766.26
"H","AKS00","V",35265829.03,36704918.41
"H","AKU00","S",16553941.80,19673317.05
"H","AKU00","V",871487616.43,920895772.59
"H","AKZ00","S",6010118.50,7061465.76
"H","AKZ00","V",78440175.25,87805285.20
"H","ALA00","S",2303203.79,46821.68
"H","ALA00","V",12956995.81,13541829.99
"H","BMA00","S",86236976.11,41046583.15
"H","BMA00","V",243343207.99,288408350.48
"H","BMD00","S",25487107.39,24055792.08
"H","BMD00","V",120154514.80,125413996.03
"H","BME00","S",6805051.69,6678828.58
"H","BME00","V",57136343.57,62400989.50
"H","CFA00","S",4028613.35,3846113.23
"H","CFA00","V",30484477.69,30302120.59
"H","ISC00","S",78540020.10,77417912.23
