dept_code,cr_id,planning_year_1,planning_year_2,planning_year_3
SSHRC,SSHRC-SO1212,383928049,377875540,375970590
NBC,NBC-SO0761,3451204,3451204,3451204
EA,EA-SO0581,261151315,252656078,252388289
H,H-SO0613,496795699,479506489,475368991
CB,CB-SO0451,2490530,2490530,2490530
SC,SC-SO1241,12560000,12560000,12560000
SCC,SCC-SO1251,23255680,23544325,23740847
ND,ND-SO0782,16588453638,18044671357,17294060364
ND,ND-SO0781,1636401209,1684560824,1744967490
HRSD,HRSD-SO0495,76692281,53673039,53673464
EA,EA-SO0584,1066795391,1026963698,1018631162
VAC,VAC-SO1322,4567138336,3586752096,3561805558
OPSIC,OPSIC-SO0961,3550898,3553133,3553133
NSERC,NSERC-SO0861,1188937736,1213701697,1211512734
ODPP,ODPP-SO0951,167208805,153713857,153713857
CNEDA,CNEDA-SO0321,44102311,18021068,18129571
FIN,FIN-SO0541,90104732621,93285410125,97918572595
INAC,INAC-SO0644,4304635350,4304593078,4483420026
CEO,CEO-SO0411,74056515,57621814,54561552
CHRC,CHRC-BSC00,1159629,1159629,1152171
NEB,NEB-BTC00,7289921,5755352,5755352
NR,NR-SO0853,430864351,245631015,210803747
CEAA,CEAA-SO0191,28659997,27691194,27531458
TBC,TBC-BXA00,3596236789,3596236789,3596236789
CI,CI-SO0421,65350454,58250627,57699885
H,H-SO0612,3133980043,2915017451,2790810434
CMHC,CMHC-SO0092,2677000000,2091000000,1814000000
OICC,OICC-SO0881,6969209596,6899453101,5037459120
CSA,CSA-SO0371,298866149,285407817,249256518
TC,TC-SO1293,626271724,387353417,377677117
INAC,INAC-SO0641,2322855611,2341570521,1339058517
GG,GG-SO0591,16007130,16007130,16007130
CGC,CGC-SO0211,5054113,5054113,5054113
PHAC,PHAC-SO1071,481785538,479284401,466868752
PCA,PCA-SO1001,1238319056,1110383747,1167512265
HC,HC-SO0621,476074400,476074400,476074400
CMHC,CMHC-SO0091,58000000,54000000,51000000
HRSD,HRSD-SO0492,52227189032,55132982049,58123788640
CFGB,CFGB-SO0731,4907663,4907663,4907663
NEB,NEB-BTD00,2528944,3645316,3645316
NRC,NRC-SO0831,558970725,545511956,528439016
ISC,ISC-SO0661,1891191942,1292074057,894481563
LP,LP-SO0711,36185626,36185626,36185626
CSEC,CSEC-SO0441,595983723,595983723,595983723
NEB,NEB-BTA00,28333982,20495319,20495319
NR,NR-SO0851,651507347,663720128,737916219
CSIS,CSIS-SO0361,577092059,577092059,577092059
ATSSC,ATSSC-SO1999,18668542,18668542,18668542
ACOA,ACOA-SO1999,25967603,25967603,25967603
CBSA,CBSA-SO1999,343409298,342519010,341904316
CCMD,CCMD-SO1999,20501856,18887950,18887950
CCOHS,CCOHS-SO1999,2840768,2840768,2840768
CEAA,CEAA-SO1999,5433237,5249576,5219293
CFIA,CFIA-SO1999,121954294,119943910,117310435
CGC,CGC-SO1999,245000,245000,245000
CPCC,CPCC-SO1999,4888343,8189945,8189945
CHRC,CHRC-ISS00,6628443,6628443,6585811
CIHR,CIHR-SO1999,28079171,28270323,27848247
CICS,CICS-SO1999,1402874,1402874,1402874
CNEDA,CNEDA-SO1999,5978872,5975321,5975321
AECB,AECB-SO1999,44090697,44988454,45760343
CRTC,CRTC-SO1999,2298055,2298055,2298055
CSA,CSA-SO1999,54943762,47247580,48625752
CTAIB,CTAIB-ISS00,5718221,5583087,5583087
CTA,CTA-SO1999,10678153.7,7092618.7,7092618.7
PCC,PCC-SO1999,2602507,2602507,2602507
CB,CB-SO1999,584199,584199,584199
CSC,CSC-SO1999,307354420,314796183,314796183
CAS,CAS-SO1999,23082227,22627583,22648798
AGR,AGR-SO1999,143189378,116978399,116664017
CH,CH-SO1999,74627098,73989912,69745393
CI,CI-SO1999,202583653,210142723,210053164
HRSD,HRSD-SO1999,206132178,201834987,209232094
FIN,FIN-SO1999,38878680,38073680,37573680
FO,FO-SO1999,375300172,310108912,288735244
EA,EA-SO1999,250124702,243718478,239359607
H,H-SO1999,286918200,248785416,243116232
INAC,INAC-SO1999,234773957,225783164,214745886
ISC,ISC-SO1999,152780251,152337683,151517666
JUS,JUS-SO1999,73808640,73228692,73220582
ND,ND-SO1999,458094144,472407653,481241120
NR,NR-SO1999,138006496,113341893,112293536
