"dept_code","so_num","in_year_auth","in_year_quarter_exp","in_year_cumul_exp","last_year_auth","last_year_quarter_exp","last_year_cumul_exp"
"CFIA",7,9822000,2362000,2362000,16941000,2160000,2160000
"CFIA",9,9640000,1393000,1393000,12445000,1402000,1402000
"CFIA",10,13969000,1054000,1054000,13969000,524000,524000
"CFIA",12,2249000,200000,200000,2249000,883000,883000
"CGC",1,44301000,10861000,10861000,43203000,10815000,10815000
"CGC",2,2979000,422000,422000,2885000,618000,618000
"CGC",3,190000,22000,22000,279000,31000,31000
"CGC",4,2868000,106000,106000,3485000,875000,875000
"CGC",5,6534000,1391000,1391000,6478000,1501000,1501000
"CGC",6,1552000,221000,221000,1243000,303000,303000
"CGC",7,2207000,243000,243000,1250000,343000,343000
"CGC",9,3893000,220000,220000,3810000,345000,345000
"CGC",12,0,39000,39000,0,167000,167000
"CGC",20,-58383000,-14134000,-14134000,-57126000,-14240000,-14240000
"CH",1,187591000,45332000,45332000,179913000,44635000,44635000
"CH",2,4611000,807000,807000,3692000,916000,916000
"CH",3,2140000,519000,519000,3580000,285000,285000
"CH",4,28430000,3401000,3401000,19160000,3509000,3509000
"CH",5,4095000,628000,628000,3940000,786000,786000
"CH",6,878000,117000,117000,871000,78000,78000
"CH",7,2529000,259000,259000,2988000,379000,379000
"CH",9,3255000,243000,243000,5294000,267000,267000
"CH",10,1273738000,280595000,280595000,1102979000,256591000,256591000
"CH",12,1231000,727000,727000,1708000,2069000,2069000
"CH",20,-9957000,-1361000,-1361000,-9957000,-882000,-882000
"CHRC",1,24109686,4971914,4971914,19806639,4851180,4851180
"CHRC",2,1017759,90513,90513,1100000,134457,134457
"CHRC",3,195464,37356,37356,260000,27713,27713
"CHRC",4,2395475,167658,167658,2376224,176290,176290
"CHRC",5,390928,88688,88688,400000,96747,96747
"CHRC",6,92677,476,476,140000,8394,8394
"CHRC",7,163448,16815,16815,180000,16140,16140
"CHRC",8,,924,924,,1528,1528
"CHRC",9,842516,997,997,500000,13006,13006
"CHRC",12,5000,,,5000,,
"CHRC",20,-1800000,-399412,-399412,-2300000,-433412,-433412
"CI",1,706201000,164695000,164695000,615265000,150941000,150941000
"CI",2,50164000,8705000,8705000,51758000,10815000,10815000
"CI",3,9336000,788000,788000,11443000,506000,506000
"CI",4,745781000,85203000,85203000,598613000,80286000,80286000
"CI",5,32329000,9080000,9080000,31114000,9363000,9363000
