dept_code,so_num,pa_last_year_5,pa_last_year_4,pa_last_year_3,pa_last_year_2,pa_last_year_1
CCRA,9,80805353.22,81386188.86,64678245.849999994,46147140.0,35540388.27
CCRA,10,4947247089.809999,4187717099.44,7364932795.31,10177963664.25,15886209490.810001
CCRA,12,15146187.859996948,20334991.08000366,12084221.210004272,18964713.7999939,7341108.65000122
CCRA,22,-474188747.15,-443518420.0,-440567372.01,-491963121.02,-485699848.01
CDC,12,4576877.000000043,4291407.0,4543733.0,5375706.0,5148853.0
CEAA,1,50439468.87,48993920.70999999,49224781.36,64877385.74,69858764.94
CEAA,2,290258.96,415586.13,1019924.08,1173675.11,1417295.59
CEAA,3,370335.65,341494.83,445331.45999999996,534895.5499999999,368462.57
CEAA,4,7122778.65,6909395.36,6319467.32,8321251.72,10176501.02
CEAA,5,758111.6799999999,94038.57999999999,103977.61,99356.08,106218.78
CEAA,6,8928.880000000001,18453.64,26720.34,275261.01,65112.69
CEAA,7,133967.97,89132.57,117431.5,253265.45,122968.0
CEAA,9,463374.37,365073.05,1486034.68,1200068.53,1409713.4
CEAA,10,18438377.46,17015294.82,14690359.56,21353902.0,21253902.51
CEAA,12,327235.08,159542.95,503792.85000000003,142985.3,96819.48000000001
CEAA,21,-1469348.0899999999,-2401196.3,-1432342.4000000001,-687230.37,-88515.66
CEO,1,110852599.13,339011698.42,110809466.62,152691912.17,179992598.98
CEO,2,16135096.23,47953373.38,6612283.449999999,4652321.63,11287911.12
CEO,3,9413219.209999999,30611171.5,10361136.82,5296890.86,5179370.79
CEO,4,33378849.21,46472045.31,48991301.57,58044394.24,70057675.6
CEO,5,31694083.970000003,92049182.71000001,21391401.0,20235230.08,35502731.51
CEO,6,339643.15,846159.46,653655.26,582081.74,1214559.22
CEO,7,11905023.55,2238531.52,5221318.15,953431.01,1288928.3699999999
CEO,8,553425.68,47230.66,-1014.12,,
CEO,9,6350370.989999999,2131118.88,1419295.72,3911385.6999999997,5881089.36
CEO,10,-12099537.85,65405165.37,7350313.76,2273970.38,2064190.1
CEO,11,2885.51,1594.05,406.97,5.6899999999999995,
CEO,12,304502.01,520576.74,323809.18,424868.12,810637.01
CFDC,12,132308241.28,151228599.0,171050469.54,155276144.0,158302331.0
CFGB,1,6209558.48,5965970.25,6066245.62,6541835.08,7280212.17
CFGB,2,20356.22,11645.6,20388.38,25823.64,30144.71
