program_id,tag_id
PCA-BGW05,MOD001
OICC-BTK01,MOD005
ND-BUQ04,MOD021
CFIA-BUH09,MOD019
AGR-BWO04,MOD005
RCMP-BXG02,MOD021
ND-BUP02,MOD019
FIN-BUV03,MOD002
ND-BUS11,MOD021
CIHR-BUI03,MOD004
INDSC-BXM09,MOD005
FTRAC-BUW02,MOD021
CFIA-BUH01,MOD019
INAC-BWR12,MOD001
HRSD-BGO19,MOD019
PCA-BGW10,MOD019
RCMP-BXH01,MOD021
RCMP-BXH09,MOD019
CNEDA-BNL01,MOD005
CSC-BUJ07,MOD021
HRSD-BGQ05,MOD019
TC-BTW20,MOD021
ND-BUP08,MOD001
CSC-BUJ01,MOD021
NR-BTM11,MOD002
EA-BVD11,MOD005
HRSD-BGM03,MOD004
WDO-BNW01,MOD005
ND-BUP03,MOD020
HRSD-BGN03,MOD019
EC-BGS04,MOD001
INVIC-BCZ02,MOD019
CFIA-BUH04,MOD001
CEAA-BGV04,MOD005
NR-BTO08,MOD019
OPSIC-BTS01,MOD005
HRSD-BGN03,MOD001
PMPRB-BYU01,MOD019
ND-BYY02,MOD019
SWC-BXR03,MOD004
INVIC-BCZ03,MOD019
FO-BTF10,MOD001
ISC-BNN05,MOD019
NRC-BNQ22,MOD005
ACOA-BED04,MOD005
CTA-BTT02,MOD019
SSHRC-BNT03,MOD004
CBSA-BUF05,MOD001
EA-BVD12,MOD005
ISC-BNP18,MOD019
CH-BSG02,MOD019
H-BVG10,MOD005
GSC-BVX01,MOD020
EC-BGR02,MOD019
FTRAC-BUX01,MOD020
IRB-BGC04,MOD001
CNEDA-BNL05,MOD002
INDSC-BXP01,MOD005
VAC-BWJ01,MOD004
INAC-BWM02,MOD005
TC-BTW21,MOD001
CH-BSE02,MOD004
INDSC-BYP09,MOD019
INDSC-BYP16,MOD005
ISC-BNO01,MOD004
CFIA-BUH08,MOD001
OICC-BYT06,MOD002
IPC-BRG01,MOD001
HRSD-BGM01,MOD004
JUS-BNY10,MOD019
LAC-BSJ03,MOD019
EA-BVD14,MOD004
RCMP-BXI03,MOD021
TC-BTW17,MOD002
GSC-BVW06,MOD001
OSFI-BVN03,MOD001
TC-BTW17,MOD020
EA-BVB21,MOD019
SSHRC-BNT06,MOD004
OICC-BTK10,MOD005
CI-BGE06,MOD019
CFIA-BUH15,MOD001
TBC-BXC07,MOD002
NR-BTM02,MOD019
TC-BTW09,MOD021
LAC-BSI03,MOD001
CBSA-BUF02,MOD021
CAS-BEG01,MOD020
TC-BTX03,MOD001
INDSC-BYP05,MOD019
INDSC-BXP02,MOD005
CFIA-BUH05,MOD019
CTA-BTT03,MOD019
TC-BTW01,MOD008
PCO-BWW03,MOD002
