"deptcode","activitycode","authority_2012","expenditure_2012","authority_2013","expenditure_2013","authority_2014","expenditure_2014","authority_2015","expenditure_2015","authority_2016","expenditure_2016","PlannedSpending_2017","PlannedSpending_2018","PlannedSpending_2019","PlannedSpending_1617"
"CCRA","ISS06",".",".",".",".",".",".",".",".",".",".",61167041.00,61498645.00,61454067.00,"."
"CCRA","ISS07",".",".",".",".",".",".",".",".",".",".",408321936.00,388088294.00,375915690.00,"."
"CCRA","ISS08",".",".",".",".",".",".",".",".",".",".",40683684.00,39649838.00,39391210.00,"."
"CCRA","ISS09",".",".",".",".",".",".",".",".",".",".",32805235.00,32467012.00,32432368.00,"."
"CCRA","ISS0Z",".",".",".",".",".",".",".",".",".",".",9669845.00,9774361.00,9765130.00,"."
"CDC","AAL00",4086096,4086096,4466421,4456273,3886777,3884137,3731258,3723258,3783194,3773193,3599617.00,3599617.00,3599617.00,"."
"CEAA","AGG00",17272375,15029356,19043433,18016837,15026526,13552979,19490399,17913607,26158017,24260587,24159057.00,23342401.00,23207751.00,21729743.00
"CEAA","AGH00",4103070,3045780,4414694,4351344,4873919,4141055,5134147,5134147,8603881,7957786,4500940.00,4348793.00,4323707.00,3932432.00
"CEAA","ISC00",10674860,9873689,11037427,10260299,12063055,12063055,6168549,6168548,6912735,6469627,5433237.00,5249576.00,5219293.00,5248860.00
"CEO","HGG00",38089407,37009414,45900589,45326885,90847659,90292796,332356077,331586802,48145526,47152229,53556884.00,39431253.00,36663769.00,45743386.00
"CEO","HGI00",38681023,37509163,28595985,27960704,18387001,18101587,117101533,116777324,13113810,12698073,11219651.00,9248769.00,9244062.00,11656805.00
"CEO","HGJ00",8106174,7860678,8142702,7974120,8405364,8261985,8445734,8244303,9103120,8835883,9279980.00,8941792.00,8653721.00,9059837.00
"CEO","ISC00",37785175,37200938,39269365,38966040,34564793,34110007,30421403,29797925,34495323,33745539,38151475.00,35448730.00,35731739.00,32075233.00
"CFDC","AFB00",73190000,71735355,68457000,69383016,66535127,69829248,66306278,63445365,67832982,68787234,67824531.00,67824531.00,67824531.00,"."
"CFDC","AFF00",19530000,20986123,19066354,18337064,16235931,14787461,16390499,21878896,17192721,17415897,20110785.00,20110785.00,20110785.00,"."
"CFDC","ISC00",12947144,10246916,12451757,12255031,12682493,10836842,12756774,10129290,12427848,11250420,12518235.00,12518235.00,12518235.00,"."
"CFGB","ATA00",4592850,3847015,4586612,4050351,4503735,4255974,4620316,4367142,4430354,4038820,4907663.00,4907663.00,4907663.00,4695000.00
"CFGB","ISC00",2419572,2003221,2474767,1930654,2606773,1993931,2488519,1884456,2639457,1946982,1815163.00,1815163.00,1815163.00,2011000.00
"CFIA","AAQ00",369572769,353600998,394119557,364310526,448414176,421520442,408312924,376113531,418590945,368568580,349600493.00,302688731.00,292616400.00,365461365.00
"CFIA","AJY00",210678616,175425417,195453318,187939265,164128295,162039970,144620153,141043127,187159735,173246448,125411593.00,119526241.00,97389616.00,138055855.00
"CFIA","AJZ00",93493072,88983164,90803235,86537965,92020456,90262195,82153712,79807062,92892965,79435589,78664213.00,76076780.00,75956733.00,93894697.00
"CFIA","HGA00",35173432,33338750,37154661,35004557,41139746,40718768,32938250,32552166,35227611,31229287,36418999.00,29531085.00,25494437.00,35727492.00
"CFIA","ISC00",137814509,130707396,137563698,131959340,137511974,133951514,121934439,119846641,139270484,133431956,121954294.00,119943910.00,117310435.00,113999756.00
"CGC","AAW00",11055383,11055383,10090227,12091194,11776514,8277393,16436112,7795591,19441200,8690177,5054113.00,5054113.00,5054113.00,"."
"CGC","AAZ00",32981245,7979898,36786273,-7813215,24006597,-38302367,32330242,-41890675,45852811,-43976649,0.00,0.00,0.00,"."
"CGC","ABB00",6864296,-331197,9954492,2844418,2374798,-3957868,2148136,-4388290,2255413,-4515841,0.00,0.00,0.00,"."
"CGC","ABD00",6040425,3380408,2408944,2501985,2732904,2211578,4329240,1275020,5840917,1417064,0.00,0.00,0.00,"."
"CGC","ISC00",15049754,15049754,13181452,15729596,13121315,14858918,19541788,15999211,27890716,17812262,245000.00,245000.00,245000.00,"."
"CH","ACR00",225834970,224955539,335451227,334086513,471167317,470497662,243220295,219676973,211189582,210650707,206380884.00,203028891.00,202066370.00,206246851.00
"CH","ACS00",123377298,117834528,115659601,113350742,114112682,113900585,113554282,110935368,198942468,194521605,206997272.00,123311310.00,116828516.00,116651447.00
"CH","ACU00",309340504,304377508,305591955,303493423,296921572,295742756,301459104,298962377,307840158,303728300,307637660.00,302553089.00,301772754.00,302463014.00
"CH","ADA00",40677450,40005590,39489384,38187915,32073523,31563243,29420241,28745475,34061078,30313329,33412967.00,31581760.00,31429056.00,32530362.00
"CH","ADB00",85540088,79587588,69037766,67495358,92192808,86818481,103884644,96962680,160760559,149879167,159884857.00,62679495.00,62169630.00,150174516.00
"CH","ADM00",49934269,47473128,46076256,45116329,43001742,42198321,46069069,45728308,71917249,50727043,92288905.00,67509315.00,65251072.00,65439465.00
"CH","ADN00",360646747,359434835,353468709,352514946,357409384,356997714,359471103,358867075,371325277,365928904,363467127.00,365315674.00,364162922.00,353724557.00
"CH","AFQ00",".",".",".",".",".",".",5309128,3684723,13685941,10066553,".",".",".",0.00
"CH","ISC00",77309390,73758839,81355471,77325904,85101574,84136545,77481913,77384345,70627073,77452315,74627098.00,73989912.00,69745393.00,72267948.00
"CHRC","ARG00",4816338,4224128,3477190,3400798,3527550,3453586,".",".",".",".",".",".",".","."
"CHRC","ARH00",9530583,9241670,9776395,9561614,9639329,9432216,".",".",".",".",".",".",".","."
"CHRC","BHZ00",4428816,4123976,4358978,4263215,3415576,3343961,".",".",".",".",".",".",".","."
"CHRC","BSA01",".",".",".",".",".",".",".",".",".",".",4737991.00,4737991.00,4707518.00,"."
