"deptcode","activitycode","authority_2012","expenditure_2012","authority_2013","expenditure_2013","authority_2014","expenditure_2014","authority_2015","expenditure_2015","authority_2016","expenditure_2016","PlannedSpending_2017","PlannedSpending_2018","PlannedSpending_2019","PlannedSpending_1617"
"LP","AVH00",33536055,33316312,33245428,32716190,32565382,32499326,32638495,28400190,32679178,32316239,36185626.00,36185626.00,36185626.00,"."
"LP","ISC00",10892193,11111639,9554668,9614351,9478183,9331017,9623732,13218434,9789671,10125428,11571871.00,11571871.00,11571871.00,"."
"MPCC","BDV00",7245638,1967472,8505552,3304538,5246257,2754359,2835076,2545782,2456179,2056958,2343627.00,2343627.00,2343627.00,2354280.00
"MPCC","ISC00",1574748,3334017,2738146,2215667,2840548,2210914,2958921,2861457,2411885,2062572,2294673.00,2294673.00,2294673.00,2331031.00
"NAC","ADO00",35706175,35601174,34647720,34647720,35321395,35321395,54897056,54897056,135309431,135309431,140034681.00,140034681.00,140034681.00,"."
"NBC","ADR00",2377000,2256298,2317336,2370384,2372430,2390788,2422050,2267140,2425493,2358137,2375539.00,2375539.00,2375539.00,2425493.00
"NBC","ADS00",986000,1071905,986150,1054609,986150,1063106,1015529,1018014,1033227,1056015,1075665.00,1075665.00,1075665.00,1033227.00
"NBC","ISC00",6747469,6294938,7172239,6729851,11573576,8643484,10600742,10215192,6228943,5909422,6262723.00,5222723.00,5662723.00,5228994.00
"NCC","ADV00",127458873,108833873,115198174,106161174,92446209,92446209,94022471,91009322,90623439,90623439,91895250.00,91895250.00,91895250.00,"."
"ND","ATT00",332063104,370062365,287635101,357676937,".",".",".",".",".",".",".",".",".","."
"ND","ATU00",1306760758,1138620391,1099910258,1096738160,".",".",".",".",".",".",".",".",".","."
"ND","ATW00",2210675599,2254696176,2658965432,2304406225,".",".",".",".",".",".",".",".",".","."
"ND","AUG00",530727041,588552268,557371772,498506389,".",".",".",".",".",".",".",".",".","."
"ND","AUN00",2433601786,2380704842,2361047196,2164396198,".",".",".",".",".",".",".",".",".","."
"ND","AUO00",3837935848,3624785831,3555855685,3308404817,".",".",".",".",".",".",".",".",".","."
"ND","AUR00",2060783714,1938240004,1906905256,1849063423,".",".",".",".",".",".",".",".",".","."
"ND","AUS00",2562345039,2325389660,2314532963,2259462866,".",".",".",".",".",".",".",".",".","."
"ND","AUW00",381592480,435588022,391906837,380994605,".",".",".",".",".",".",".",".",".","."
"ND","AUX00",321796040,351048363,330508243,333449431,".",".",".",".",".",".",".",".",".","."
"ND","AUY00",196315960,234636710,191825205,216866379,".",".",".",".",".",".",".",".",".","."
"ND","AUZ00",1909581442,1199828298,1408567563,1049967979,".",".",".",".",".",".",".",".",".","."
"ND","AVI00",1689357774,1656689502,1270920673,1515175655,".",".",".",".",".",".",".",".",".","."
"ND","AVJ00",360299643,359554725,335360184,348451951,".",".",".",".",".",".",".",".",".","."
"ND","AVM00",132526625,108006213,114702592,107533918,".",".",".",".",".",".",".",".",".","."
"ND","AVR00",5791704,2158916,3754011,617906,".",".",".",".",".",".",".",".",".","."
"ND","CQA00",".",".",".",".",1584467565,1229363372,1577586094,1360079139,1431589418,1347953481,1204608692.00,1242203250.00,1289764460.00,1235618328.00
"ND","CQB00",".",".",".",".",438816642,497418597,388622170,453694400,334822105,412290287,431792517.00,442357574.00,455203030.00,323558922.00
"ND","CQC00",".",".",".",".",3281611558,3284882232,3245508752,3401386557,3579383682,3455054881,3366635148.00,3443853349.00,3503564537.00,3469027157.00
"ND","CQD00",".",".",".",".",14316908755,12504965147,13933619105,12577878081,13262541448,12448763780,12826660194.00,14191763214.00,13374702491.00,12775597776.00
"ND","CQE00",".",".",".",".",381089627,462489089,384217147,424789408,411326893,448262459,395158296.00,409054794.00,415793336.00,397614790.00
"ND","ISC00",1156329043,1009627845,906706062,972661367,450261906,474820024,467857112,448245658,450700903,493828641,458094144.00,472407653.00,481241120.00,438851960.00
"NEB","AUD00",44777917,44125872,49664458,47970746,51792827,45310493,62723358,45842289,61255420,40961325,".",".",".",61322894.00
"NEB","AUF00",7962686,5974560,5665194,6156305,6589085,6567390,8475092,7190780,7542996,6125216,".",".",".",7648605.00
"NEB","BTA01",".",".",".",".",".",".",".",".",".",".",22432522.00,18626779.00,18626779.00,"."
"NEB","BTA02",".",".",".",".",".",".",".",".",".",".",5901460.00,1868540.00,1868540.00,"."
"NEB","BTB01",".",".",".",".",".",".",".",".",".",".",14650775.00,13672724.00,13672724.00,"."
"NEB","BTB02",".",".",".",".",".",".",".",".",".",".",3287124.00,3094077.00,3094077.00,"."
"NEB","BTB03",".",".",".",".",".",".",".",".",".",".",1675888.00,1591790.00,1591790.00,"."
"NEB","BTB04",".",".",".",".",".",".",".",".",".",".",3193821.00,3144844.00,3144844.00,"."
"NEB","BTC01",".",".",".",".",".",".",".",".",".",".",6011514.00,5212445.00,5212445.00,"."
"NEB","BTC02",".",".",".",".",".",".",".",".",".",".",1278407.00,542907.00,542907.00,"."
"NEB","BTD01",".",".",".",".",".",".",".",".",".",".",1549482.00,2730555.00,2730555.00,"."
"NEB","BTD02",".",".",".",".",".",".",".",".",".",".",979462.00,914761.00,914761.00,"."
"NEB","ISC00",21704391,19445209,30969711,27555630,34100936,35443200,25238978,29363499,24358500,37530277,".",".",".",24633776.00
"NEB","ISS00",".",".",".",".",".",".",".",".",".",".",18879531.00,18791809.00,18791809.00,"."
"NFB","AEA00",46135040,41897936,44351471,40730149,43690485,37074179,42573051,34911829,41495666,32666002,43323228.00,35663548.00,35663432.00,36302290.00
"NFB","BLT00",21361374,19209203,21382563,18949388,16658947,17181576,17225459,16702002,20678689,20997964,21657098.00,17474272.00,17474215.00,17804118.00
"NFB","ISC00",9293742,7644722,9321205,7186528,9556673,8306761,8989900,8307358,9307403,10250460,9395019.00,8037335.00,8037309.00,8517592.00
"NGC","AEF00",48830762,48830762,44193242,44193242,44308269,44308269,45776761,45776761,46127385,46127385,54203410.00,54203410.00,54203410.00,"."
"NMST","AEH00",31517305,31517304,27003126,27003126,33370395,33370395,59600577,59600577,108428274,108103274,144527796.00,144527796.00,144527796.00,"."
"NPA","AUP00",3347403,1920142,3136931,1172624,738790,516310,731301,456055,704432,254331,494830.00,1911885.00,1911885.00,751835.00
"NPB","AXV00",42227760,35653808,39294666,36601459,38609439,37027793,35386820,35007980,36577216,35113334,".",".",".",37519878.00
"NPB","AXW00",7269282,5562361,7012752,5552600,6883575,5728180,5560244,3854157,4701454,3912382,".",".",".",3952579.00
"NPB","AXY00",83072,274473,680693,2846012,932900,2317620,568172,364363,522899,1256305,".",".",".",775438.00
"NPB","BUA01",".",".",".",".",".",".",".",".",".",".",34392874.00,34398702.00,34399464.00,"."
"NPB","BUB01",".",".",".",".",".",".",".",".",".",".",4747331.00,4748629.00,4749901.00,"."
"NPB","BUC01",".",".",".",".",".",".",".",".",".",".",529000.00,529000.00,529000.00,"."
"NPB","ISC00",5594630,5021148,5509488,5410406,5389943,5048803,7249351,7104439,6928103,6543420,".",".",".",7360910.00
"NPB","ISS00",".",".",".",".",".",".",".",".",".",".",7036548.00,7037174.00,7037704.00,"."
"NR","BMT00",57373994,55420361,61396582,59733334,64507366,61566240,90964090,75927073,74012256,70738385,60190597.00,35202474.00,27967075.00,43993476.00
"NR","BMU00",99731011,93948144,105039435,94093063,71742031,71707214,92394682,93375233,111219760,97761228,109154844.00,39171754.00,37607582.00,96074981.00
"NR","BMV00",74984572,73319149,65961283,65333593,61525666,60589504,67692074,68270162,74761684,74593181,73163653.00,67873990.00,59380256.00,62900219.00
"NR","BMW00",684964769,684964769,795884721,795884721,837746067,837746067,347989273,347989273,473430813,473430813,408998253.00,521471910.00,612961306.00,743336158.00
"NR","BMX00",521649781,342424547,430276325,314652883,370539168,291745439,258837128,211012423,213996763,177431795,183461546.00,137174523.00,107117070.00,183336817.00
"NR","BMY00",290672824,152200348,235868140,155738548,163911547,151832220,143292764,143620407,148253404,148143884,219965182.00,81401428.00,77567268.00,115838434.00
"NR","BMZ00",310838092,236874939,330109153,282047031,387092977,267570932,410119888,121598627,37951209,35319980,27437623.00,27055064.00,26119409.00,29619508.00
"NR","BNA00",60233869,55604146,66418340,65535095,66173756,65692439,73440885,73709947,79900579,79879094,70418079.00,59079852.00,58383883.00,57808743.00
"NR","BNB00",103326066,90961341,83852111,73828231,89926292,78469116,83529098,74110670,93523442,74793210,49150177.00,45914237.00,46185753.00,75092662.00
"NR","ISC00",187191942,181093220,198477192,184198094,169193761,162499616,147374207,125564854,167923770,125907344,138006496.00,113341893.00,112293536.00,184517755.00
"NRC","APX00",43724532,27520191,55631788,37938839,".",".",".",".",".",".",".",".",".","."
"NRC","APY00",105603750,94893647,111131916,99678744,117794792,106451583,168637771,116379686,205311893,125604143,200135686.00,157755761.00,128743382.00,168670448.00
"NRC","APZ00",19764186,16545265,22431221,19746208,".",".",".",".",".",".",".",".",".","."
"NRC","BMK00",170748069,99228802,166922326,130293853,".",".",".",".",".",".",".",".",".","."
"NRC","BML00",77956607,52646923,91240348,62063602,".",".",".",".",".",".",".",".",".","."
"NRC","BMM00",259882522,244628683,296269192,278130653,301733723,271824267,296159162,288919078,330154053,322990061,269123074.00,262028318.00,244936528.00,269541644.00
"NRC","BMN00",134573686,82478395,132206410,87424904,".",".",".",".",".",".",".",".",".","."
"NRC","CTA00",".",".",".",".",424031453,344930416,450634962,326830511,492666176,352212039,289847651.00,283483638.00,283502488.00,394009694.00
"NRC","ISC00",147844317,186863006,195436177,179141403,288646700,232498650,228532954,212948320,279488728,247934222,253702382.27,233818243.00,192342099.00,234199645.00
"NRTEE","AWK00",3917539,2655386,".",".",".",".",".",".",".",".",".",".",".","."
"NRTEE","ISC00",2115901,2788012,".",".",".",".",".",".",".",".",".",".",".","."
"NSERC","APO00",35354371,60711985,".",".",".",".",".",".",".",".",".",".",".","."
"NSERC","APP00",145307137,135248080,".",".",".",".",".",".",".",".",".",".",".","."
"NSERC","APQ00",374087122,369797993,".",".",".",".",".",".",".",".",".",".",".","."
"NSERC","APR00",109235958,101374639,".",".",".",".",".",".",".",".",".",".",".","."
"NSERC","APS00",189134174,185440529,".",".",".",".",".",".",".",".",".",".",".","."
"NSERC","APU00",5840590,5114986,".",".",".",".",".",".",".",".",".",".",".","."
"NSERC","APV00",52390598,50878787,".",".",".",".",".",".",".",".",".",".",".","."
"NSERC","APW00",142269045,140261268,".",".",".",".",".",".",".",".",".",".",".","."
"NSERC","CBA00",".",".",275891715,268221394,281331506,272162729,284898318,273271214,290257615,274215021,287882897.00,278914912.00,275328306.00,287561563.00
"NSERC","CBB00",".",".",392895790,404299452,407067408,417812704,434038301,454997430,497143763,504451902,522502495.00,559025804.00,561798117.00,435524043.00
"NSERC","CBC00",".",".",375362675,370061947,374634239,371301195,375017105,369402138,383743998,393056929,378552344.00,375760981.00,374386311.00,375358464.00
"NSERC","ISC00",26675374,27153005,25948945,24096237,26212740,24168828,26253383,17982412,23924221,19537041,18092408.00,18036718.00,17759278.00,21740599.00
"OAG","AHF00",93844576,88209772,88305991,84265019,85833640,81863430,81802133,77683076,82753368,79029225,95000000.00,93000000.00,93000000.00,96300000.00
"OCI","AYD00",3723060,3514836,3829691,3592430,3899475,3687215,3823261,3773324,3720457,3541609,3585451.00,3585451.00,3585451.00,3629089.00
"OCI","ISC00",1078098,1061550,1083370,1133751,1086866,1080785,1009840,796823,1152702,1151162,1030053.00,1030053.00,1030053.00,1035447.00
"OCOL","AWF00",6808158,6321862,6810607,6527651,7485327,7134848,6931248,6673506,7784195,7554792,7255494.00,7255494.00,7255494.00,6967574.00
"OCOL","AWG00",6984070,6494480,6662367,7033889,7057446,7007231,6811745,6059233,7174607,6638658,6840895.00,6840895.00,6840895.00,6971568.00
"OCOL","ISC00",8373185,8317674,11788287,10626223,8401482,8273795,7275416,7497292,6669692,6241270,6633595.00,6633595.00,6633595.00,6952477.00
"OCSEC","ATG00",1873087,1662369,1660021,1322494,1532698,1216653,1624549,1498360,1650453,1359747,1581736.00,1581736.00,1581736.00,1620000.00
"OCSEC","ISC00",650000,623350,607373,620626,591695,826907,495763,536517,545214,644631,527480.00,527480.00,527480.00,505377.00
"ODPP","BIT00",19343956,14443793,19859672,18552131,18280165,18277385,26212738,17678932,26747050,18830176,25745385.00,20033465.00,20033465.00,27737387.00
"ODPP","BJF00",132836536,122714750,139441804,137105995,133030252,133019792,137739187,130007960,139108444,134974965,141463420.00,133680392.00,133680392.00,140185541.00
"ODPP","DAG00",".",".",".",".",2791419,2778230,3317994,3179910,3663806,3538864,3330613.00,3139103.00,3110103.00,2290133.00
"ODPP","DAH00",".",".",".",".",478765,470170,1001105,913731,1113423,1042571,".",".",".",1526755.00
"ODPP","ISC00",30770390,26208280,30707575,29635415,22097456,20701173,20787557,20344053,21603941,19198221,19664086.00,19271468.00,19271468.00,22477658.00
"OEC","BDG00",4896099,4304011,4855286,3899081,4772905,3934745,4705180,3818993,4667829,3990579,5213144.00,5213144.00,5213144.00,"."
"OEC","ISC00",2197150,2149438,2078834,2135969,2074826,2342467,2073485,1939145,2148696,2242323,6633595.00,6633595.00,6633595.00,"."
"OICC","BJH00",348007200,236858957,321192991,191464385,62678546,25078120,90885828,50036481,97327297,3064280,56608537.00,27826737.00,126737.00,97380082.00
"OICC","BJQ00",2098117931,1965101267,2108849290,2107905313,1974402893,1974387706,1975090837,1974079201,2103972917,2102832309,2074765524.00,2173390051.00,2173483440.00,2074601337.00
"OICC","BKM00",232608274,185562310,188868012,121255786,".",".",".",".",".",".",".",".",".","."
"OICC","BKN00",1984462288,922540575,955186117,703538461,".",".",".",".",".",".",".",".",".","."
"OICC","BKO00",157922021,116441609,125402876,85735908,".",".",".",".",".",".",".",".",".","."
"OICC","BKP00",357154044,240062809,300714738,197363859,".",".",".",".",".",".",".",".",".","."
"OICC","BKQ00",58470528,35917298,78863733,42891190,".",".",".",".",".",".",".",".",".","."
"OICC","BKR00",28782070,7508396,44177047,28261439,".",".",".",".",".",".",".",".",".","."
"OICC","BKS00",3876681,502999,5000,5000,".",".",".",".",".",".",".",".",".","."
"OICC","BKT00",".",54454,".",".",".",".",".",".",".",".",".",".",".","."
"OICC","CSA00",".",".",".",".",251121321,139119440,146771469,84854656,1646617194,164694236,3058211074.00,2627519290.00,701008922.00,49588756.00
"OICC","CSB00",".",".",".",".",1078295752,787479954,1172413053,887432688,1151636243,703602026,1026254190.00,1130874062.00,1376729238.00,751990832.00
"OICC","CSC00",".",".",".",".",184946167,92993364,170100556,88141483,167041506,157116165,162625742.00,199623092.00,250701530.00,227236114.00
"OICC","CSD00",".",".",".",".",124863136,40687967,167474282,66281311,134274879,28165895,590744529.00,740219869.00,535409253.00,91859300.00
"OICC","ISC00",44865508,42105718,38347182,35404150,37306840,36135562,39615936,39615936,48291361,48291361,42454205.00,43012828.00,36247211.00,29976406.00
"OPSIC","BLB00",4117909,3627994,3763662,3608322,3121395,2692847,3287367,2644497,3746113,2779946,3550898.00,3553133.00,3553133.00,3564227.00
"OPSIC","ISC00",2016938,1915002,2232600,1934719,2536641,2148180,2291511,1809060,1851445,1543753,1890483.00,1889169.00,1889169.00,1898247.00
"ORL","BIO00",1138372,1124001,891366,887751,970130,950575,1040305,986477,1212438,1193759,".",".",".",1025250.00
"ORL","BIP00",950000,924150,821744,732456,737115,722255,726224,688647,642102,632210,".",".",".",772854.00
"ORL","BIQ00",1055000,1019962,1166898,1080788,1134634,1111761,".",".",".",".",".",".",".","."
"ORL","BVA01",".",".",".",".",".",".",".",".",".",".",1026902.00,1026902.00,1026902.00,"."
"ORL","BVA02",".",".",".",".",".",".",".",".",".",".",909707.00,909707.00,909707.00,"."
"ORL","BVA03",".",".",".",".",".",".",".",".",".",".",1124784.00,1124784.00,1124784.00,"."
"ORL","DAF00",".",".",".",".",".",".",1187145,1125719,1188865,1170549,".",".",".",1121510.00
"ORL","ISC00",1773976,1677201,1856441,1762528,1934941,1895936,1662583,1576614,1564157,1540060,".",".",".",1543072.00
"ORL","ISS00",".",".",".",".",".",".",".",".",".",".",1363246.00,1363246.00,1363246.00,"."
"OSEO","BFL00",781634,649631,914713,765918,1142694,703221,1144358,766289,1140478,922471,1232127.00,1232127.00,1232127.00,"."
"OSFI","AIG00",909369,-1383716,945058,-710886,5239142,5092171,6130074,5443559,5710390,5416540,5938078.00,6017476.00,6047852.00,5710390.00
"OSFI","AIH00",80633612,1417325,81857735,5262282,153184540,79674770,145701382,76831313,148394750,78131916,81253463.00,82859566.00,84306658.00,80602151.00
"OSFI","AII00",0,-1811101,0,-2461381,4420260,3944690,4105818,3984053,4178274,4194466,4335253.00,4425156.00,4495019.00,4178274.00
"OSFI","ISC00",2019,1464756,2910,14947434,55327186,57597243,58743609,57959652,59215029,60278454,58633533.00,59092244.00,60256146.00,59213141.00
"PACS","BIM00",892250,".",".",".",".",".",".",".",".",".",".",".",".","."
"PACS","ISC00",100000,".",".",".",".",".",".",".",".",".",".",".",".","."
"PCA","AGV00",172283785,146398627,170790773,140659981,158337176,137267951,167154530,163462332,189348761,177801510,219566624.00,202358026.00,181708195.00,185944344.00
"PCA","AGW00",42319069,14874251,54648539,27859372,45989871,21199396,31844292,17719496,23327712,13888477,12574855.00,10910165.00,13743275.00,18281238.00
"PCA","AGZ00",60016917,52372806,47013272,43793272,45825382,42872689,41281844,40743143,47893264,44968472,42921405.00,41272778.00,41293450.00,45187665.00
"PCA","AHA00",262765778,239572389,293025793,263655992,330389382,291314470,465008732,400413772,613216315,490888796,526736042.00,487697643.00,462224297.00,479851370.00
"PCA","AHC00",152219212,91782776,164264871,118681423,156530074,136302253,351129854,272412103,438838642,310375764,436520130.00,368145135.00,468543048.00,306781950.00
"PCA","ISC00",92096518,85546742,105083546,96291316,94979520,92843101,143437994,141379561,157112289,153770032,150584014.00,146855208.00,144522638.00,137491734.00
"PCC","AYX00",4193585,3127446,5086722,4361336,6417567,6181112,6762359,6529281,7739551,6523302,7333382.00,7333382.00,7333382.00,6317800.00
"PCC","ISC00",4596070,4883555,5142235,4428498,3757782,3418859,3704377,3188782,2583646,2512650,2602507.00,2602507.00,2602507.00,3710517.00
"PCO","BEB00",73308494,68183596,66336793,65873503,67374608,63488309,65771162,64371121,79702173,72402148,76934405.00,76217030.00,75960027.00,66239718.00
"PCO","BEF00",2969824,2673659,2682090,2463664,3255270,2748542,3824092,3417213,4644710,4104309,4807034.00,4807244.00,3558202.00,4674197.00
"PCO","BEI00",2924811,2558379,".",".",".",".",".",".",".",3105893,34147019.00,14011332.00,0.00,0.00
"PCO","BLG00",16670983,14917947,14147984,14105792,14779404,13636584,13868984,13338225,14758790,12816810,14511298.00,14178919.00,14050348.00,13876838.00
"PCO","ISC00",48935787,41898860,49103590,43942168,41815705,43320220,43750696,41992462,60703557,61811781,51594601.00,46133298.00,45875743.00,40865520.00
"PHAC","BHA00",73062170,68904693,".",".",".",".",".",".",".",".",".",".",".","."
"PHAC","BHI00",175665074,170303645,".",".",".",".",".",".",".",".",".",".",".","."
"PHAC","BHK00",46287085,33667364,".",".",".",".",".",".",".",".",".",".",".","."
"PHAC","BHO00",76795556,69933545,".",".",".",".",".",".",".",".",".",".",".","."
"PHAC","BKD00",85760547,78117836,".",".",".",".",".",".",".",".",".",".",".","."
"PHAC","BKE00",97463420,92245397,".",".",".",".",".",".",".",".",".",".",".","."
"PHAC","CIA00",".",".",135026327,132987799,141558759,124806312,119798669,116628229,112399719,111593778,110828059.00,106957378.00,106114663.00,115963044.00
"PHAC","CIB00",".",".",313869611,305929930,354326520,351381857,305070361,297511370,303044432,290050854,309597402.00,310966946.00,308694012.00,300679998.00
"PHAC","CIC00",".",".",77673470,73097007,64846100,61983921,69142817,67972376,77368767,66895158,61360077.00,61360077.00,52060077.00,77462190.00
"PHAC","ISC00",109411139,106483749,114557718,109482900,106692281,98797095,99946859,90968166,100227919,90677238,90149394.00,90145512.00,90150501.00,95632570.00
"PMPRB","ALD00",1548698,983279,1314847,1146790,1292325,1301871,1546129,1688584,1739258,1616278,1575179.00,1575179.00,1575179.00,1704508.00
"PMPRB","ALE00",7437076,3888795,9669981,6395602,7004647,3543891,7030734,5399127,6834705,6098659,6706989.00,6706989.00,6706989.00,6646758.00
"PMPRB","ISC00",3593229,3184729,3250531,2998175,2900196,3084518,2672343,2410650,2670837,2419022,2584153.00,2584153.00,2584153.00,2613842.00
"PPP","AHZ00",287700000,287450000,265200000,265200000,209500000,209500000,231200000,11800000,279500000,11800000,279500000.00,279500000.00,279500000.00,"."
"PPS","AVV00",".",".",".",".",".",".",52122727,50470931,70331449,64780326,68262800.00,68262800.00,68262800.00,"."
"PSC","AEJ00",16332121,16019847,16812314,15951135,15092193,13965264,14652252,12398985,11595471,10723487,12208868.00,12228618.00,12224212.00,14723892.00
"PSC","AEL00",28854325,27590904,24159001,21763483,23187232,20735468,23677884,20036629,24086903,23036436,25938789.00,25397745.00,25266418.00,25043506.00
"PSC","BHE00",22163086,20000247,18380731,16955912,18439205,17026944,18330684,15511737,15206621,13617571,15213129.00,15272664.00,15259386.00,16567345.00
"PSC","ISC00",35732572,32119068,34348171,30896735,30323923,25870255,29144242,24662355,33914617,28445614,30150147.00,30611906.00,30508917.00,27268320.00
"PSEP","AYJ00",31847686,29085820,28268523,28121465,26321018,25639736,25129969,24346071,51024961,47330324,29645423.00,31545059.00,28538636.00,30655523.00
"PSEP","AYK00",368472060,325816430,1109827567,1085379860,936222177,440187278,897660836,175134875,922664797,922575019,757517869.00,707831565.00,199013512.00,801835100.00
"PSEP","BLE00",4094741,4230514,4595378,4651452,4527524,4342209,3936202,3902107,3788784,3582815,2338110.00,2338110.00,2338110.00,3730870.00
"PSEP","ISC00",65445980,64144320,61191730,59606141,53109008,51392399,55835950,54456168,54884843,52683418,49380898.00,49068961.00,49182681.00,50283403.00
"PSEP","LJP00",164603851,160996694,168051778,163491325,165489735,153901164,162928875,148943506,176266215,171440360,213711559.00,195418019.00,198193701.00,210453512.00
"PSSRB","AEO00",10467886,9736106,10390080,9080117,5847582,5840342,".",".",".",".",".",".",".","."
"PSSRB","ISC00",4032722,3898234,4092638,3625831,2167137,2164377,".",".",".",".",".",".",".","."
"PSST","AES00",4026370,3747033,4090572,3680159,2385213,2280929,".",".",".",".",".",".",".","."
"PSST","ISC00",1799224,1361774,1565603,1088531,724286,692620,".",".",".",".",".",".",".","."
"RCMP","AYO00",2186433880,1913573311,1845256093,1761000036,1750499856,1695334830,1824935754,1768230682,1958475392,1838068322,2100223111.00,2094452381.00,2101520855.00,1663704437.00
"RCMP","AYR00",272393482,260304114,256166042,241130536,260274414,222457415,184083163,155007056,178822479,159347221,193627855.00,189670141.00,167821556.00,165984656.00
"RCMP","HGD00",65701894,61606341,58841573,53068140,57547836,52898053,56885851,53755447,58863296,47136030,53067195.00,50201117.00,50234055.00,53766203.00
"RCMP","HGE00",13331959,13058519,12779035,13359752,12533858,13571003,11105440,13369819,11911410,15061088,11604175.00,11600855.00,11603185.00,11151561.00
"RCMP","HGF00",137972602,134622883,148601130,147142744,162371322,156978125,181856716,179890362,206978646,196862445,224013665.00,250068068.00,279676467.00,203973498.00
"RCMP","ISC00",788114405,741234191,736074324,676679488,744654107,720649549,696485340,685974205,891698522,761150978,792441191.00,672914049.00,660338430.00,674234494.00
"RPSDP","BKA00",1885291,1659741,1863099,1229362,975243,965243,".",".",".",".",".",".",".","."
"RSCT","ADP00",2339962,1604871,2361319,1555970,956521,949289,".",".",".",".",".",".",".","."
"RSCT","ISC00",584991,532742,590330,585466,366177,363409,".",".",".",".",".",".",".","."
"SC","AQL00",".",".",50861303,45036722,56929929,61835205,135103233,135027740,289844720,289514918,44636260.55,7559804.46,331958.02,366148539.00
"SC","AQM00",208759039,195580123,131515310,130781314,132585590,132627053,129904043,130488036,128227129,128571340,129398587.28,129318026.52,129336900.57,128535138.00
"SC","AQN00",159090818,155830812,101347898,103547956,98198837,100399795,101692699,101784521,99420646,99346940,99153759.66,98621711.73,101281556.34,100763339.00
"SC","AQO00",69894618,62233124,".",".",".",".",".",".",".",".",".",".",".","."
"SC","AQR00",".",".",158343771,135719900,130167162,116403474,108827938,87473605,168771678,86607104,120393990.52,93066263.75,86758044.51,97950720.00
"SC","AQT00",".",".",0,-279336,0,-3911,0,0,0,0,12560000.00,12560000.00,12560000.00,0.00
"SC","ISC00",114368065,106247250,55230931,56705219,54810358,55940845,62163757,62786663,76741759,77476859,64907611.58,64594630.50,64754098.49,58086277.00
"SCA","AQK00",10318993,10318993,10081241,8081241,12889535,12889535,10194937,10194937,10515380,10515380,10706000.00,10706000.00,10706000.00,"."
"SCC","ASW00",16816579,16012731,17454578,16627433,16840247,16489596,16586179,15491294,17042684,15597127,15546765.00,15577271.00,15609147.00,16067392.00
"SCC","HGK00",6025983,6025983,6155512,6155512,6565949,6565949,7933812,7933812,7572984,7572984,7708915.00,7967054.00,8131700.00,7425442.00
"SCC","ISC00",9459325,9181104,8991752,8647994,9472639,8937242,9741089,8914642,11483328,10509315,11627242.00,10625063.00,10631935.00,9724368.00
"SEN","AVN00",42568016,43039799,41884807,39491143,40686604,36505215,37718426,33364160,40861294,38890413,57890830.00,57890830.00,57890830.00,"."
"SEN","AVP00",17503462,17019654,18736612,16999026,16586685,18512064,15956369,16923212,19577747,17332964,17982965.00,17982965.00,17982965.00,"."
"SEN","AVQ00",31093566,28822335,28426591,28203881,29680366,30385112,24704121,24284722,26534876,24455379,28000570.00,28000570.00,28000570.00,"."
"SHARE","BFS00",".",".",".",".",".",".",".",".",".",".",103294265.00,108525128.00,111183231.00,"."
"SHARE","BFT00",".",".",".",".",".",".",".",".",".",".",602376779.00,513365959.00,517925513.00,"."
"SHARE","BFU00",".",".",".",".",".",".",".",".",".",".",582236511.00,486749990.00,453934797.00,"."
"SHARE","BFV00",".",".",".",".",".",".",".",".",".",".",175637213.00,106489546.00,123569541.00,"."
"SHARE","BFW00",".",".",".",".",".",".",".",".",".",".",102460709.00,106672740.00,109742438.00,"."
"SHARE","BFX00",".",".",".",".",".",".",".",".",".",".",787384.00,787384.00,787384.00,"."
"SHARE","BMO00",1390640598,1268136395,1567351803,1509268650,1516845983,1464760963,1436669551,1365866235,1736562231,1530614758,".",".",".",1392864369.00
"SHARE","ISC00",161811223,113012700,151471738,143969155,160554051,157620892,145037402,138577535,159404155,150754979,158752179.00,158712649.00,158612672.00,158390332.00
"SIRC","AWV00",893140,513789,775230,652793,736988,742767,621582,639334,1330443,980480,1429665.00,1414471.00,1406971.00,1694820.00
"SIRC","AWW00",1251143,1053569,1336344,1181764,1401954,1295985,1204466,1185838,1837445,1670754,2343984.00,2336984.00,2334484.00,2222268.00
"SIRC","ISC00",936435,1333915,887981,947964,869159,941268,1262320,1044303,3823834,1823534,1247697.00,1399700.00,1402649.00,3187712.00
"SSHRC","AQA00",138131830,139741893,141933474,143601012,152905158,154341344,157549508,162450407,183349926,180034365,179931376.00,176694897.00,176704779.00,159789803.00
"SSHRC","AQB00",176185361,172287321,172321931,170656178,173584377,168129181,172802050,169294848,173551701,172100909,174512591.00,174518062.00,174159074.00,173493112.00
"SSHRC","AQD00",332137880,332129423,332047462,331845665,340731013,340902057,340726254,340666298,368659104,368679893,369620441.00,369625331.00,369572876.00,341615386.00
"SSHRC","AQZ00",".",".",".",".",".",".",1912757,2545724,7970239,8016252,13506758.00,19048156.00,18884313.00,2494438.00
"SSHRC","BMS00",35333834,35544201,34254944,34556118,32288661,33309316,31162350,32964773,30203118,34477611,29484082.00,26662581.00,25106737.00,28590819.00
"SSHRC","ISC00",18004561,16729745,16623804,15060465,17195857,16244750,17344625,12370089,15283708,12645017,12188608.00,12179092.00,12103067.00,14029251.00
"SWC","AEW00",24362810,22465800,".",".",".",".",".",".",".",".",".",".",".","."
