"DeptCode","SObj","TotalAuthorityCurrent","ExpenditureatquarterendCurrent","TotalExpenditureCurrent","TotalAuthorityPrevious","ExpenditureatquarterendPrevious","TotalExpenditurePrevious"
"FCAC",1,13936041,2970600,2970600,11517434,2874152,2874152
"FCAC",2,634926,122925,122925,519632,108158,108158
"FCAC",3,688411,46280,46280,931719,9496,9496
"FCAC",4,5802830,691817,691817,3625391,465704,465704
"FCAC",5,1135241,199829,199829,989417,208793,208793
"FCAC",6,11300,0,0,14480,1301,1301
"FCAC",7,32500,-10098,-10098,32500,10171,10171
"FCAC",9,121797,19437,19437,113670,8859,8859
"FCAC",12,615595,98070,98070,516865,90272,90272
"FEDSO",1,20306000,5947000,5947000,21902000,5184000,5184000
"FEDSO",2,766000,156000,156000,997000,90000,90000
"FEDSO",3,414000,36000,36000,494000,24000,24000
"FEDSO",4,5077000,312000,312000,4418000,283000,283000
"FEDSO",5,167000,14000,14000,172000,5000,5000
"FEDSO",6,168000,29000,29000,316000,20000,20000
"FEDSO",7,107000,12000,12000,301000,7000,7000
"FEDSO",9,54000,29000,29000,350000,1000,1000
"FEDSO",10,242198000,33128000,33128000,227680000,32259000,32259000
"FEDSO",12,92000,1000,1000,18000,3000,3000
"FIN",1,81419000,20081000,20081000,83362000,20228000,20228000
"FIN",2,2802000,529000,529000,2884000,633000,633000
"FIN",3,2133000,152000,152000,1580000,332000,332000
"FIN",4,11759000,2249000,2249000,12519000,2841000,2841000
"FIN",5,1292000,387000,387000,1430000,393000,393000
"FIN",6,189000,9000,9000,68000,0,0
"FIN",7,104361000,25035000,25035000,96440000,27413000,27413000
"FIN",8,0,0,0,0,0,0
"FIN",9,525000,34000,34000,820000,32000,32000
"FIN",10,68449245000,17312116000,17312116000,66482782000,16848864000,16848864000
"FIN",11,21490000000,5321180000,5321180000,22782000000,5669113000,5669113000
"FIN",12,36000,57850000,57850000,58000,20119000,20119000
"FIN",20,-150000,0,0,-150000,0,0
"FJA",1,526761000,129614000,129614000,513948000,123973000,123973000
"FJA",2,23348000,5602000,5602000,23527000,4612000,4612000
"FJA",3,190000,41000,41000,97000,25000,25000
"FJA",4,13589000,2320000,2320000,12785000,1775000,1775000
"FJA",5,271000,47000,47000,257000,51000,51000
"FJA",6,74000,0,0,70000,15000,15000
"FJA",7,70000,2000,2000,63000,4000,4000
"FJA",9,106000,10000,10000,130000,23000,23000
"FJA",12,6144000,2106000,2106000,5625000,949000,949000
"FJA",20,-275000,0,0,-275000,0,0
"FO",1,977980000,234055000,234055000,890669000,218554000,218554000
"FO",2,60832000,14415000,14415000,59351000,11827000,11827000
"FO",3,3236000,355000,355000,3434000,242000,242000
"FO",4,277829000,88819000,88819000,261133000,32571000,32571000
"FO",5,19423000,4509000,4509000,15288000,2674000,2674000
"FO",6,201658000,27242000,27242000,210749000,22105000,22105000
"FO",7,114728000,15457000,15457000,107411000,14045000,14045000
"FO",8,145864000,16230000,16230000,221714000,13475000,13475000
"FO",9,667566000,13193000,13193000,711558000,13165000,13165000
"FO",10,135236000,11409000,11409000,94450000,10382000,10382000
"FO",12,19882000,16311000,16311000,16257000,10601000,10601000
"FO",20,-47915000,-12569000,-12569000,-47915000,-10915000,-10915000
"FORDQ",1,31923000,8948000,8948000,33508000,7840000,7840000
"FORDQ",2,995000,183000,183000,1235000,201000,201000
"FORDQ",3,440000,19000,19000,482000,54000,54000
"FORDQ",4,5738000,384000,384000,5952000,850000,850000
"FORDQ",5,713000,199000,199000,739000,27000,27000
"FORDQ",6,40000,5000,5000,47000,3000,3000
"FORDQ",7,194000,21000,21000,232000,24000,24000
"FORDQ",8,0,0,0,0,0,0
"FORDQ",9,747000,26000,26000,884000,19000,19000
"FORDQ",10,262730000,26912000,26912000,275622000,19186000,19186000
"FORDQ",12,297000,121000,121000,19000,430000,430000
"FTRAC",1,38931000,9228000,9228000,38530000,9073000,9073000
