dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
ISC,ex1,118,104,104,103,107,0.02237
ISC,ex2,49,52,52,53,54,0.01085
ISC,ex3,35,34,36,37,39,0.00755
ISC,ex4,4,4,5,7,6,0.00108
ISC,ex5,5,4,2,3,5,0.00079
ISC,non,4571,4520,4543,4573,4736,0.95735
JUS,ex1,36,32,30,28,30,0.00687
JUS,ex2,10,10,10,15,11,0.00247
JUS,ex3,8,8,8,8,8,0.00176
JUS,ex4,3,1,1,.,1,0.00026
JUS,ex5,.,2,3,3,.,0.00035
JUS,non,4668,4521,4424,4407,4411,0.98828
LAC,ex1,12,14,14,13,10,0.01299
LAC,ex2,10,9,12,11,11,0.01093
LAC,ex3,3,4,4,3,.,0.00289
LAC,ex4,3,2,1,2,2,0.00206
LAC,non,885,1014,995,909,907,0.97113
MPCC,ex1,1,.,.,.,.,0.00952
MPCC,ex3,.,1,2,2,1,0.05714
MPCC,non,17,13,20,24,24,0.93333
ND,ex1,89,79,81,87,86,0.00361
ND,ex2,33,33,32,36,41,0.0015
ND,ex3,30,27,29,31,27,0.00123
ND,ex4,3,4,4,5,4,0.00017
ND,ex5,6,5,5,6,6,0.00024
ND,non,24778,22998,22460,22789,23014,0.99325
NEB,ex1,15,14,17,18,15,0.03565
NEB,ex2,2,2,1,4,6,0.00677
NEB,ex3,12,13,14,16,18,0.03294
NEB,ex4,2,2,3,3,3,0.00587
NEB,ex5,1,.,1,1,1,0.00181
NEB,non,377,404,411,427,413,0.91697
NFB,ex1,4,6,6,3,2,0.01029
NFB,ex2,18,19,20,18,19,0.04608
NFB,ex3,1,.,.,2,4,0.00343
NFB,ex4,5,6,6,4,4,0.01225
NFB,ex5,1,1,1,1,1,0.00245
NFB,non,437,388,361,361,341,0.92549
NPB,ex1,6,7,6,5,5,0.01275
NPB,ex2,7,6,6,6,7,0.01407
NPB,ex3,1,1,1,1,1,0.0022
NPB,non,440,445,454,435,435,0.97099
NR,ex1,67,70,71,60,64,0.01566
NR,ex2,35,34,34,40,42,0.00873
NR,ex3,33,34,35,35,37,0.00821
NR,ex4,8,10,6,6,5,0.00165
NR,ex5,2,2,2,3,4,0.00061
NR,non,4216,4081,4001,4047,4112,0.96513
NRC,ex1,75,81,77,79,80,0.0214
NRC,ex2,38,38,51,47,57,0.01261
NRC,ex3,25,23,7,9,6,0.00382
NRC,ex4,2,2,14,14,14,0.00251
NRC,ex5,5,5,6,7,7,0.00164
NRC,non,3380,3385,3463,3624,3700,0.95803
NRTEE,non,3,.,.,.,.,1
NSERC,ex1,10,11,12,13,12,0.02736
NSERC,ex2,6,4,4,4,5,0.01085
NSERC,ex3,3,2,2,2,2,0.00519
NSERC,ex4,3,3,3,2,2,0.00613
NSERC,ex5,1,1,1,1,1,0.00236
NSERC,non,384,388,396,422,420,0.94811
OAG,ex1,91,86,85,84,92,0.14757
OAG,ex2,1,.,.,.,.,0.00034
OAG,ex3,49,45,43,44,42,0.07513
OAG,ex4,5,5,3,1,1,0.00505
OAG,ex5,12,11,12,9,7,0.01718
OAG,non,453,434,428,450,475,0.75472
OCI,ex1,3,3,3,4,4,0.09392
OCI,ex3,1,1,1,1,2,0.03315
OCI,non,29,36,31,32,30,0.87293
OCOL,ex1,9,8,10,8,8,0.05218
OCOL,ex3,4,3,3,3,3,0.01942
OCOL,non,149,160,159,153,144,0.9284
ODPP,ex1,3,5,5,3,5,0.00433
ODPP,ex2,4,3,3,3,3,0.0033
ODPP,non,947,961,960,964,982,0.99237
OICC,ex1,15,14,15,16,12,0.04417
OICC,ex2,7,6,8,6,8,0.02147
OICC,ex3,3,3,4,5,5,0.01227
OICC,ex4,3,2,4,4,3,0.00982
OICC,non,280,263,323,320,301,0.91227
OPSIC,ex1,.,1,1,1,1,0.02985
OPSIC,ex2,1,1,1,.,.,0.02239
OPSIC,ex3,1,1,1,1,1,0.03731
OPSIC,non,29,25,22,24,22,0.91045
ORL,ex1,2,2,2,3,2,0.08527
ORL,ex2,1,1,1,1,.,0.03101
ORL,non,23,23,24,22,22,0.88372
OSFI,ex1,81,95,93,96,95,0.13622
OSFI,ex2,25,23,27,26,27,0.0379
OSFI,ex3,11,10,12,11,11,0.01629
OSFI,ex4,7,7,6,4,2,0.0077
OSFI,ex5,4,3,2,4,4,0.00503
OSFI,non,510,546,560,526,549,0.79686
PCA,ex1,6,7,6,3,3,0.00144
PCA,ex2,39,40,44,44,43,0.0121
PCA,ex3,16,13,13,18,15,0.00432
PCA,ex4,5,7,8,7,6,0.0019
PCA,ex5,6,6,8,6,4,0.00173
PCA,non,2851,3102,3315,3808,3905,0.97851
PCC,ex1,3,3,4,2,2,0.04154
