dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
LAC,ex4,2,1,2,2,2,0.00185
LAC,non,1014,995,909,907,900,0.97142
MPCC,ex2,.,.,.,.,1,0.00952
MPCC,ex3,1,2,2,1,.,0.05714
MPCC,non,13,20,24,24,17,0.93333
ND,ex1,79,81,87,86,92,0.00367
ND,ex2,33,32,36,41,39,0.00156
ND,ex3,27,29,31,27,31,0.00125
ND,ex4,4,4,5,4,7,0.00021
ND,ex5,5,5,6,6,6,0.00024
ND,non,22998,22460,22789,23014,23849,0.99307
NEB,ex1,14,17,18,15,16,0.03503
NEB,ex2,2,1,4,6,4,0.00744
NEB,ex3,13,14,16,18,18,0.03459
NEB,ex4,2,3,3,3,1,0.00525
NEB,ex5,.,1,1,1,.,0.00131
NEB,non,404,411,427,413,438,0.91637
NFB,ex1,6,6,3,2,3,0.01014
NFB,ex2,19,20,18,19,22,0.04967
NFB,ex3,.,.,2,4,4,0.00507
NFB,ex4,6,6,4,4,4,0.01216
NFB,ex5,1,1,1,1,1,0.00253
NFB,non,388,361,361,341,365,0.92043
NPB,ex1,7,6,5,5,6,0.01275
NPB,ex2,6,6,6,7,7,0.01407
NPB,ex3,1,1,1,1,1,0.0022
NPB,non,445,454,435,435,439,0.97098
NR,ex1,70,71,60,64,56,0.01515
NR,ex2,34,34,40,42,41,0.00901
NR,ex3,34,35,35,37,33,0.00821
NR,ex4,10,6,6,5,4,0.00146
NR,ex5,2,2,3,4,4,0.00071
NR,non,4081,4001,4047,4112,4220,0.96546
NRC,ex1,81,77,79,80,70,0.02073
NRC,ex2,38,51,47,57,56,0.01334
NRC,ex3,23,7,9,6,6,0.00273
NRC,ex4,2,14,14,14,14,0.00311
NRC,ex5,5,6,7,7,7,0.00171
NRC,non,3385,3463,3624,3700,3718,0.95838
NSERC,ex1,11,12,13,12,11,0.02731
NSERC,ex2,4,4,4,5,5,0.01019
NSERC,ex3,2,2,2,2,2,0.00463
NSERC,ex4,3,3,2,2,1,0.00509
NSERC,ex5,1,1,1,1,1,0.00231
NSERC,non,388,396,422,420,427,0.95046
OAG,ex1,86,85,84,92,88,0.14696
OAG,ex3,45,43,44,42,43,0.07331
OAG,ex4,5,3,1,1,.,0.00338
OAG,ex5,11,12,9,7,7,0.01554
OAG,non,434,428,450,475,465,0.76081
OCI,ex1,3,3,4,4,4,0.09945
OCI,ex3,1,1,1,2,1,0.03315
OCI,non,36,31,32,30,28,0.8674
OCOL,ex1,8,10,8,8,8,0.05085
OCOL,ex3,3,3,3,3,2,0.01695
OCOL,non,160,159,153,144,154,0.9322
ODPP,ex1,5,5,3,5,3,0.00428
ODPP,ex2,3,3,3,3,3,0.00306
ODPP,ex3,.,.,.,.,1,0.0002
ODPP,non,961,960,964,982,998,0.99245
OICC,ex1,14,15,16,12,13,0.04063
OICC,ex2,6,8,6,8,11,0.02263
OICC,ex3,3,4,5,5,5,0.01277
OICC,ex4,2,4,4,3,3,0.00929
OICC,non,263,323,320,301,369,0.91468
OPSIC,ex1,1,1,1,1,1,0.03968
OPSIC,ex2,1,1,.,.,.,0.01587
OPSIC,ex3,1,1,1,1,1,0.03968
OPSIC,non,25,22,24,22,21,0.90476
ORL,ex1,2,2,3,2,3,0.096
ORL,ex2,1,1,1,.,.,0.024
ORL,non,23,24,22,22,19,0.88
OSFI,ex1,95,93,96,95,93,0.13642
OSFI,ex2,23,27,26,27,31,0.03873
OSFI,ex3,10,12,11,11,10,0.01561
