"program_id","result_id"
"HRSD-BGP05","7026-2018"
"HRSD-BGP06","7024-2018"
"HRSD-BGP06","7026-2018"
"HRSD-BGP07","7023-2018"
"HRSD-BGP07","7024-2018"
"HRSD-BGP07","7025-2018"
"HRSD-BGQ01","7027-2018"
"HRSD-BGQ02","7027-2018"
"HRSD-BGQ03","7027-2018"
"HRSD-BGQ04","7028-2018"
"HRSD-BGQ05","7027-2018"
"INAC-BWM01","7306-2018"
"INAC-BWM02","7305-2018"
"INAC-BWM03","7307-2018"
"INAC-BWM04","7305-2018"
"INAC-BWM05","7305-2018"
"INAC-BWM06","7306-2018"
"INAC-BWM07","7306-2018"
"INAC-BWM08","7306-2018"
"INAC-BWM09","7307-2018"
"INAC-BWM10","7305-2018"
"INAC-BWM11","7305-2018"
"INAC-BWM11","7306-2018"
"INAC-BWM12","7307-2018"
"INAC-BWM13","7307-2018"
"INAC-BWR01","7308-2018"
"INAC-BWR02","7308-2018"
"INAC-BWR03","7310-2018"
"INAC-BWR04","7309-2018"
"INAC-BWR05","7310-2018"
"INAC-BWR06","7310-2018"
"INAC-BWR07","7310-2018"
"INAC-BWR08","7310-2018"
"INAC-BWR09","7310-2018"
"INAC-BWR10","7309-2018"
"INDSC-BWS01","7440-2018"
"INDSC-BWS02","7442-2018"
"INDSC-BWS03","7442-2018"
"INDSC-BWS04","7441-2018"
"INDSC-BWS05","7441-2018"
"INDSC-BWS06","7442-2018"
"INDSC-BWT01","7444-2018"
"INDSC-BWT02","7443-2018"
"INDSC-BWT03","7443-2018"
"INDSC-BWT04","7443-2018"
"INDSC-BWT05","7445-2018"
"INDSC-BWT06","7444-2018"
"INDSC-BWU01","7446-2018"
"INDSC-BWU01","7449-2018"
"INDSC-BWU02","7446-2018"
"INDSC-BWU02","7449-2018"
"INDSC-BWU04","7446-2018"
"INDSC-BWU05","7446-2018"
"INDSC-BWU06","7446-2018"
"INDSC-BWU07","7449-2018"
"INDSC-BWU08","7447-2018"
"INDSC-BWU09","7448-2018"
"INDSC-BWU10","7448-2018"
"INDSC-BWU11","7448-2018"
"INDSC-BWU12","7448-2018"
"INDSC-BWU13","7446-2018"
"INDSC-BWU14","7446-2018"
"IPC-BRF01","7213-2018"
"IPC-BRF01","7214-2018"
"IPC-BRG01","7042-2018"
"IPC-BRG01","7043-2018"
"IPC-BRG02","7041-2018"
"IRB-BGC01","7242-2018"
"IRB-BGC02","7242-2018"
"IRB-BGC03","7242-2018"
"IRB-BGC04","7242-2018"
"ISC-BNN01","7124-2018"
"ISC-BNN02","7126-2018"
"ISC-BNN03","7124-2018"
"ISC-BNN03","7125-2018"
"ISC-BNN04","7124-2018"
"ISC-BNO01","7128-2018"
"ISC-BNO01","7129-2018"
"ISC-BNO02","7129-2018"
"ISC-BNO03","7127-2018"
"ISC-BNO03","7128-2018"
"ISC-BNO03","7129-2018"
"ISC-BNO04","7128-2018"
"ISC-BNO04","7129-2018"
"ISC-BNP01","7130-2018"
"ISC-BNP01","7131-2018"
"ISC-BNP01","7132-2018"
"ISC-BNP01","7133-2018"
"ISC-BNP02","7131-2018"
"ISC-BNP02","7133-2018"
"ISC-BNP03","7131-2018"
"ISC-BNP03","7132-2018"
"ISC-BNP04","7131-2018"
"ISC-BNP05","7133-2018"
"ISC-BNP06","7131-2018"
"ISC-BNP06","7132-2018"
"ISC-BNP07","7130-2018"
"ISC-BNP07","7131-2018"
"ISC-BNP08","7131-2018"
"ISC-BNP08","7132-2018"
"ISC-BNP09","7131-2018"
"ISC-BNP09","7132-2018"
"ISC-BNP10","7132-2018"
"ISC-BNP11","7131-2018"
"ISC-BNP11","7132-2018"
"ISC-BNP11","7133-2018"
"ISC-BNP12","7131-2018"
"ISC-BNP13","7132-2018"
"ISC-BNP13","7133-2018"
"ISC-BNP14","7132-2018"
"ISC-BNP15","7132-2018"
"ISC-BNP16","7132-2018"
"JUS-BNX01","7201-2018"
"JUS-BNX02","7201-2018"
"JUS-BNX03","7201-2018"
"JUS-BNY01","7202-2018"
"JUS-BNY02","7204-2018"
"JUS-BNY03","7204-2018"
"JUS-BNY04","7203-2018"
"JUS-BNY05","7204-2018"
"JUS-BNY06","7203-2018"
"JUS-BNY07","7204-2018"
"JUS-BNY08","7203-2018"
"JUS-BNY09","7204-2018"
"JUS-BNY10","7204-2018"
"LAC-BSI01","7077-2018"
"LAC-BSI01","7078-2018"
"LAC-BSI02","7077-2018"
"LAC-BSI02","7078-2018"
"LAC-BSI03","7077-2018"
"LAC-BSI03","7078-2018"
"LAC-BSI04","7079-2018"
"LAC-BSJ01","7080-2018"
"LAC-BSJ02","7080-2018"
"LAC-BSJ02","7081-2018"
"MPCC-BVJ01","7198-2018"
"MPCC-BVJ01","7199-2018"
"MPCC-BVJ01","7200-2018"
"NBC-BFO01","7302-2018"
"NBC-BFY01","7303-2018"
"NBC-BFY01","7304-2018"
"ND-BUN01","7334-2018"
"ND-BUN01","7335-2018"
"ND-BUN01","7336-2018"
"ND-BUN02","7337-2018"
"ND-BUN03","7338-2018"
