dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
NPB,ind,357,349,335,356,354,0.77001
NPB,stu,7,9,6,4,8,0.01495
NPB,ter,76,86,72,65,60,0.15787
NR,cas,272,298,290,233,274,0.0645
NR,ind,3634,3508,3506,3621,3596,0.84297
NR,stu,172,166,169,130,160,0.03761
NR,ter,153,177,226,280,328,0.05492
NRC,cas,.,.,1,.,.,0.00005
NRC,ind,3041,3067,3149,3236,3297,0.84588
NRC,na,.,.,.,3,1,0.00021
NRC,stu,48,46,.,72,62,0.01221
NRC,ter,445,505,630,553,511,0.14164
NSERC,ind,341,349,360,367,373,0.8287
NSERC,stu,15,20,19,11,20,0.03935
NSERC,ter,53,49,65,64,54,0.13194
OAG,cas,3,1,3,.,3,0.00338
OAG,ind,536,523,525,529,525,0.89122
OAG,na,.,.,.,2,.,0.00068
OAG,stu,9,15,23,30,30,0.03615
OAG,ter,33,32,37,56,45,0.06858
OCI,cas,1,1,2,1,1,0.03315
OCI,ind,33,31,32,33,29,0.87293
OCI,stu,5,2,2,2,.,0.06077
OCI,ter,1,1,1,.,3,0.03315
OCOL,cas,11,9,10,4,10,0.05327
OCOL,ind,154,155,148,145,142,0.90073
OCOL,stu,2,3,3,1,3,0.01453
OCOL,ter,4,5,3,5,9,0.03148
ODPP,cas,12,21,12,15,11,0.01448
ODPP,ind,874,892,899,909,908,0.91432
ODPP,stu,4,1,1,5,6,0.00347
ODPP,ter,79,54,58,61,80,0.06773
OICC,cas,12,19,21,21,21,0.05456
OICC,ind,269,312,311,278,331,0.87115
OICC,stu,4,16,14,17,21,0.04179
OICC,ter,3,7,5,13,28,0.0325
OPSIC,cas,.,.,2,.,2,0.03175
OPSIC,ind,27,23,23,23,21,0.92857
OPSIC,na,.,.,.,1,.,0.00794
OPSIC,ter,1,2,1,.,.,0.03175
ORL,cas,.,1,1,.,.,0.016
ORL,ind,26,26,24,24,22,0.976
ORL,ter,.,.,1,.,.,0.008
OSFI,cas,9,10,9,8,9,0.01301
OSFI,ind,639,659,628,646,680,0.93988
OSFI,na,.,.,.,3,2,0.00145
OSFI,stu,11,10,5,12,12,0.01445
OSFI,ter,25,21,25,19,18,0.03121
PCA,cas,.,35,78,60,71,0.0131
PCA,ind,2837,2954,3240,3305,3320,0.84023
PCA,na,.,.,.,.,17,0.00091
PCA,stu,87,73,78,87,107,0.02318
PCA,ter,251,332,490,524,687,0.12258
PCC,cas,3,9,8,8,10,0.11047
PCC,ind,52,52,51,50,51,0.74419
PCC,stu,6,8,6,3,2,0.07267
PCC,ter,4,5,6,6,4,0.07267
PCO,cas,52,38,44,57,76,0.06682
PCO,ind,659,655,637,655,781,0.8476
PCO,stu,23,22,17,22,41,0.03128
PCO,ter,17,13,14,65,108,0.0543
PHAC,cas,103,92,107,92,88,0.04391
PHAC,ind,1831,1852,1883,1908,1846,0.84905
PHAC,stu,126,101,115,122,102,0.05156
PHAC,ter,115,141,118,112,123,0.05548
PMPRB,cas,3,6,3,1,3,0.05096
PMPRB,ind,49,52,62,67,56,0.91083
PMPRB,na,.,.,.,1,1,0.00637
PMPRB,stu,1,1,.,.,.,0.00637
PMPRB,ter,2,1,4,.,1,0.02548
PSC,cas,13,30,32,26,37,0.03628
PSC,ind,708,683,682,709,723,0.9214
PSC,stu,9,17,20,30,30,0.02787
PSC,ter,6,8,7,15,19,0.01446
PSEP,cas,61,74,112,98,103,0.08125
PSEP,ind,939,845,911,950,995,0.84149
PSEP,stu,32,41,68,60,64,0.04806
PSEP,ter,25,18,34,41,43,0.0292
PSSRB,cas,7,.,.,.,.,0.07692
PSSRB,ind,71,.,.,.,.,0.78022
PSSRB,stu,1,.,.,.,.,0.01099
PSSRB,ter,12,.,.,.,.,0.13187
PSST,ind,26,.,.,.,.,0.83871
PSST,ter,5,.,.,.,.,0.16129
RCMP,cas,173,174,184,141,134,0.02434
RCMP,ind,5616,5763,5837,6150,6535,0.90297
RCMP,stu,57,68,69,87,109,0.01178
RCMP,ter,219,432,481,423,462,0.06091
RPSDP,cas,1,.,.,.,.,0.11111
RPSDP,ind,7,.,.,.,.,0.77778
RPSDP,stu,1,.,.,.,.,0.11111
RSCT,ind,9,.,.,.,.,1
SC,cas,115,114,229,191,160,0.02369
SC,ind,4727,4801,4792,4902,5063,0.71104
SC,stu,256,204,163,187,190,0.02928
SC,ter,1408,1413,2234,1704,1301,0.23599
SCC,cas,7,10,10,3,9,0.03578
SCC,ind,168,150,153,162,160,0.72752
SCC,stu,15,18,14,15,15,0.07064
SCC,ter,29,35,35,36,46,0.16606
SHARE,cas,168,148,196,267,335,0.04147
SHARE,ind,5010,4815,4638,4634,5176,0.90369
SHARE,stu,64,52,70,87,135,0.01519
SHARE,ter,152,221,253,269,170,0.03965
SIRC,cas,.,.,.,.,3,0.0297
SIRC,ind,16,17,17,18,14,0.81188
SIRC,stu,.,.,2,.,1,0.0297
SIRC,ter,.,1,1,4,7,0.12871
SSHRC,ind,159,163,166,172,179,0.80287
SSHRC,stu,5,2,4,2,2,0.01435
SSHRC,ter,41,44,40,37,29,0.18278
SWC,cas,12,5,7,9,24,0.11377
SWC,ind,77,83,78,84,88,0.81836
SWC,stu,1,.,1,1,5,0.01597
SWC,ter,8,4,5,5,4,0.0519
TBC,cas,76,65,75,76,96,0.04282
TBC,ind,1618,1598,1570,1651,1728,0.90102
TBC,stu,50,58,37,54,61,0.02869
TBC,ter,34,40,46,60,69,0.02748
TC,cas,181,275,78,128,263,0.0366
TC,ind,4421,4746,4959,4522,4851,0.92977
TC,stu,87,91,39,62,135,0.01638
TC,ter,82,93,78,70,113,0.01725
TRC,cas,.,2,.,.,.,0.08333
TRC,ind,4,4,.,.,.,0.33333
TRC,ter,11,3,.,.,.,0.58333
VAC,cas,150,205,337,157,86,0.06078
VAC,ind,2730,2604,2758,2382,2371,0.83496
VAC,stu,68,66,52,85,92,0.0236
VAC,ter,240,299,266,185,251,0.08067
VRAB,ind,.,.,.,66,69,0.78947
VRAB,ter,.,.,.,20,16,0.21053
WDO,cas,14,10,7,7,11,0.03293
WDO,ind,274,254,250,246,243,0.85148
WDO,stu,17,15,19,13,22,0.0578
WDO,ter,13,18,16,13,26,0.0578
ZGOC,cas,8002,8663,9251,7505,8397,0.03194
ZGOC,ind,222721,219668,218544,222474,228720,0.84933
ZGOC,stu,5189,5500,5712,6281,7426,0.02299
ZGOC,ter,21226,23203,25472,26389,28969,0.09566
ZGOC,na,0,0,0,47,59,0.00008
