dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year
FORDQ,age45to49,53,47,42,46,47
FORDQ,age50to54,59,57,65,60,61
FORDQ,age55to59,41,50,49,53,51
FORDQ,age60to64,15,14,17,16,12
FORDQ,age65plus,3,8,8,12,7
FTRAC,age20less,.,1,1,1,.
FTRAC,age20to24,25,12,27,36,41
FTRAC,age25to29,51,38,33,43,42
FTRAC,age30to34,57,53,56,63,59
FTRAC,age35to39,67,70,61,51,51
FTRAC,age40to44,73,67,68,61,57
FTRAC,age45to49,46,49,53,64,67
FTRAC,age50to54,30,35,30,30,33
FTRAC,age55to59,20,16,21,20,17
FTRAC,age60to64,5,6,4,5,11
FTRAC,age65plus,.,.,1,.,.
GG,age20less,.,.,1,.,1
GG,age20to24,6,1,6,7,7
GG,age25to29,10,13,12,14,11
GG,age30to34,15,14,15,17,14
GG,age35to39,24,24,27,23,17
GG,age40to44,23,26,25,31,24
GG,age45to49,21,21,16,14,23
GG,age50to54,25,23,26,25,20
GG,age55to59,18,17,15,21,17
GG,age60to64,9,7,6,6,5
GG,age65plus,7,9,7,8,10
GSC,age20less,15,19,18,20,36
GSC,age20to24,329,298,380,400,582
GSC,age25to29,957,843,790,740,805
GSC,age30to34,1281,1262,1227,1210,1303
GSC,age35to39,1539,1604,1650,1638,1770
GSC,age40to44,1545,1507,1589,1669,1844
GSC,age45to49,1895,1826,1767,1740,1780
GSC,age50to54,2231,2214,2153,2101,2126
GSC,age55to59,1515,1572,1621,1578,1661
GSC,age60to64,632,606,655,700,722
GSC,age65plus,205,216,242,265,265
H,age20less,6,11,5,13,11
H,age20to24,226,213,204,287,318
H,age25to29,774,633,486,456,473
H,age30to34,1314,1215,1086,1025,948
H,age35to39,1521,1464,1491,1482,1463
H,age40to44,1395,1447,1420,1458,1531
H,age45to49,1429,1364,1321,1343,1412
H,age50to54,1405,1376,1398,1361,1375
H,age55to59,957,968,987,1038,1035
H,age60to64,481,468,483,532,557
H,age65plus,193,182,198,194,204
HMIRC,age20less,2,.,.,.,.
