dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year
EA,abroad,1226,1230,1194,1166,1057
EA,bc,217,14,18,19,14
EA,nl,17,2,1,1,1
EA,mb,35,1,1,2,4
EA,na,.,.,.,101,34
EA,nb,18,3,4,2,1
EA,ncr,6139,4710,4688,4531,4882
EA,ns,34,4,5,5,6
EA,onlessncr,639,24,25,22,31
EA,pe,3,1,1,1,1
EA,qclessncr,361,24,19,19,18
EA,sk,35,3,2,3,1
EC,ab,359,371,370,364,383
EC,abroad,1,1,.,.,.
EC,bc,493,543,542,513,518
EC,nl,71,71,73,74,69
EC,mb,133,142,140,125,134
EC,na,.,.,.,145,16
EC,nb,124,139,143,149,145
EC,ncr,2625,2647,2698,2548,2772
EC,ns,256,275,257,230,234
EC,nt,62,60,63,61,57
EC,nu,21,22,19,11,13
EC,onlessncr,1243,1250,1267,1252,1232
EC,pe,2,1,2,1,3
EC,qclessncr,813,825,831,822,843
EC,sk,169,169,160,151,152
EC,yt,36,34,30,29,30
ERC,ncr,6,5,6,7,6
FCAC,ncr,73,78,84,94,99
FEDSO,bc,.,1,.,.,.
FEDSO,na,.,.,.,3,27
FEDSO,ncr,28,35,34,34,24
FEDSO,onlessncr,190,188,184,185,166
FIN,abroad,.,.,3,3,.
FIN,na,.,.,.,7,9
FIN,ncr,756,751,739,725,738
FIN,onlessncr,.,.,1,.,.
FJA,na,.,.,.,.,2
FJA,ncr,66,57,54,59,57
FJA,onlessncr,1,1,.,.,.
FO,ab,17,12,12,9,9
FO,abroad,4,4,1,.,.
FO,bc,2384,2335,2368,2304,2343
FO,nl,1585,1506,1510,1459,1556
FO,mb,237,229,212,201,199
FO,na,.,.,.,169,191
FO,nb,592,616,623,611,598
FO,ncr,1514,1390,1375,1404,1582
FO,ns,1665,1610,1592,1531,1428
FO,nt,47,44,44,42,51
FO,nu,23,28,19,25,21
FO,onlessncr,788,759,752,759,814
FO,pe,111,115,114,115,111
FO,qclessncr,1290,1281,1208,1242,1300
FO,sk,3,2,2,3,2
FO,yt,34,27,26,27,25
FORDQ,na,.,.,.,1,1
FORDQ,ncr,16,21,22,21,21
FORDQ,qclessncr,323,327,309,311,314
FTRAC,bc,13,11,9,18,13
FTRAC,na,.,.,.,2,38
FTRAC,ncr,338,317,324,325,295
FTRAC,onlessncr,10,9,11,18,22
FTRAC,qclessncr,13,10,11,11,10
GG,abroad,1,1,.,.,.
GG,na,.,.,.,1,1
GG,ncr,154,151,153,163,146
GG,qclessncr,3,3,3,2,2
GSC,ab,354,360,349,354,360
GSC,abroad,3,4,5,3,2
GSC,bc,527,501,466,462,476
GSC,nl,115,105,100,84,93
GSC,mb,191,183,183,160,174
GSC,na,.,.,.,20,113
GSC,nb,949,1139,1402,1446,1545
GSC,ncr,7735,7472,7378,7364,7967
GSC,ns,445,396,394,402,392
GSC,nt,25,18,21,21,20
GSC,nu,11,12,11,9,4
GSC,onlessncr,562,546,533,515,506
GSC,pe,57,55,51,46,45
GSC,qclessncr,1107,1123,1152,1122,1146
GSC,sk,59,49,43,50,47
GSC,yt,4,4,4,3,4
H,ab,447,404,408,402,417
H,bc,439,196,194,194,184
H,nl,16,16,15,16,12
H,mb,857,833,773,749,723
H,na,.,.,.,80,62
H,nb,21,18,16,14,19
H,ncr,6295,6290,6141,6159,6331
H,ns,234,225,213,219,216
H,nt,.,2,4,6,6
H,onlessncr,614,597,593,629,618
H,pe,1,1,1,1,1
H,qclessncr,490,481,469,466,477
H,sk,275,267,240,243,247
H,yt,12,11,12,11,14
HMIRC,ncr,31,.,.,.,.
HRSD,ab,1284,1407,1388,1547,1687
HRSD,bc,1819,1898,2001,2057,2149
HRSD,nl,531,493,536,556,601
HRSD,mb,784,791,792,813,807
HRSD,na,.,.,.,19,253
HRSD,nb,1038,999,1047,1048,1112
HRSD,ncr,6350,6784,6852,6854,6857
HRSD,ns,515,446,462,527,523
HRSD,nt,28,25,23,23,18
HRSD,nu,18,16,14,14,12
HRSD,onlessncr,4253,4675,4932,5125,5543
HRSD,pe,138,115,109,118,117
HRSD,qclessncr,2856,3032,3106,3166,3530
HRSD,sk,419,408,436,434,512
HRSD,yt,13,8,9,11,8
IJC,na,.,.,.,1,1
IJC,ncr,21,24,25,25,23
IJC,onlessncr,11,7,7,6,8
INAC,ab,233,216,227,217,224
INAC,bc,551,524,530,497,422
INAC,nl,2,2,2,1,1
INAC,mb,227,252,250,232,216
INAC,na,.,.,.,60,410
INAC,ncr,2478,2436,2323,2265,2176
INAC,ns,130,129,120,128,122
INAC,nt,224,121,78,81,83
INAC,nu,107,107,93,87,91
INAC,onlessncr,447,503,477,437,417
INAC,qclessncr,147,148,167,164,165
INAC,sk,331,326,344,337,306
INAC,yt,98,93,73,76,75
IOG,ab,84,85,80,85,87
IOG,na,.,.,.,.,1
IPC,na,.,.,.,.,22
IPC,ncr,251,255,274,252,233
IPC,onlessncr,7,6,8,7,6
IRB,ab,14,14,13,11,13
IRB,bc,105,108,103,100,102
IRB,na,.,.,.,5,3
IRB,ncr,299,268,280,284,310
IRB,onlessncr,419,389,363,389,402
IRB,qclessncr,197,204,195,184,201
ISC,ab,90,90,85,91,89
ISC,bc,144,144,148,157,157
ISC,nl,19,18,18,17,13
ISC,mb,62,56,53,51,47
ISC,na,.,.,.,49,34
ISC,nb,24,20,21,22,21
ISC,ncr,3712,3685,3733,3702,3897
ISC,ns,52,47,46,45,49
ISC,nt,1,1,1,1,1
ISC,onlessncr,396,377,368,364,360
ISC,pe,2,2,1,1,1
ISC,qclessncr,250,249,239,245,251
ISC,sk,29,28,29,31,27
ISC,yt,1,1,.,.,.
JUS,ab,247,240,226,215,219
JUS,abroad,2,2,2,3,.
JUS,bc,490,461,443,448,446
JUS,nl,2,2,1,2,2
JUS,mb,95,86,87,88,83
JUS,na,.,.,.,6,20
JUS,nb,8,8,7,5,5
JUS,ncr,2710,2654,2606,2609,2636
JUS,ns,114,112,110,102,99
JUS,nt,21,21,21,17,16
JUS,nu,2,1,1,2,1
JUS,onlessncr,562,534,520,526,515
JUS,pe,7,5,8,9,8
JUS,qclessncr,370,358,355,338,328
JUS,sk,86,83,79,81,73
JUS,yt,9,7,10,10,10
LAC,bc,17,16,19,10,7
LAC,mb,30,38,26,25,22
LAC,na,.,.,.,1,9
LAC,ncr,822,956,966,893,891
LAC,ns,13,15,12,9,1
LAC,onlessncr,20,11,.,.,.
LAC,qclessncr,11,7,3,.,.
MPCC,ncr,18,14,22,26,25
ND,ab,1811,1640,1616,1638,1689
ND,abroad,11,8,6,4,6
ND,bc,2577,2363,2296,2258,2271
ND,nl,113,105,99,101,95
ND,mb,857,815,796,808,779
ND,na,.,.,.,294,160
ND,nb,897,793,808,837,853
ND,ncr,7975,7571,7404,7542,7945
ND,ns,3275,3011,2946,2854,2814
ND,nt,19,18,20,26,27
ND,onlessncr,4079,3794,3693,3646,3611
ND,pe,5,5,6,7,5
ND,qclessncr,3161,2870,2774,2792,2776
ND,sk,157,152,146,146,146
ND,yt,2,1,1,1,1
NEB,ab,406,432,444,460,449
NEB,bc,.,.,.,2,3
NEB,na,.,.,.,1,.
NEB,nt,2,2,2,2,1
NEB,qclessncr,1,1,1,4,3
NFB,ab,11,10,7,7,7
NFB,bc,21,18,15,17,20
NFB,nl,2,3,3,2,2
NFB,mb,6,2,2,3,3
NFB,nb,7,3,3,4,3
NFB,ncr,.,1,.,.,.
NFB,ns,10,5,4,4,5
NFB,onlessncr,35,35,36,30,22
NFB,pe,1,.,.,.,.
NFB,qclessncr,372,342,324,322,309
NFB,sk,1,1,.,.,.
NPB,ab,40,40,43,43,38
NPB,bc,43,47,48,45,49
NPB,na,.,.,.,2,2
NPB,nb,37,37,39,40,38
NPB,ncr,172,169,166,154,155
NPB,onlessncr,64,65,66,57,60
NPB,qclessncr,63,58,67,69,70
NPB,sk,35,43,38,37,36
NR,ab,324,320,329,321,300
NR,bc,252,253,260,256,210
NR,nl,19,22,24,25,19
NR,mb,9,4,5,6,5
NR,na,.,.,.,52,438
NR,nb,80,80,76,64,61
NR,ncr,2818,2694,2615,2640,2505
NR,ns,81,81,69,68,61
NR,nt,10,6,7,7,7
NR,nu,19,17,17,10,7
NR,onlessncr,301,303,297,304,258
NR,pe,1,.,.,1,1
NR,qclessncr,431,437,436,423,379
NR,sk,9,9,8,8,8
NR,yt,7,5,6,6,5
NRC,ab,108,111,116,118,112
NRC,abroad,1,1,1,1,.
NRC,bc,267,271,280,285,278
NRC,nl,105,105,104,102,99
NRC,mb,63,57,53,50,49
NRC,na,.,.,.,.,68
NRC,nb,54,49,51,53,40
NRC,ncr,2001,2007,2036,2145,2195
NRC,ns,107,111,119,123,116
NRC,onlessncr,116,119,118,117,129
NRC,pe,24,25,24,28,24
NRC,qclessncr,540,547,584,630,644
NRC,sk,139,131,132,128,110
NRTEE,ncr,3,.,.,.,.
NSERC,bc,4,4,5,4,4
NSERC,mb,6,4,4,4,5
NSERC,na,.,.,.,.,4
NSERC,nb,4,3,3,6,5
NSERC,ncr,383,389,398,420,415
NSERC,onlessncr,6,5,4,6,5
NSERC,qclessncr,4,4,4,4,4
OAG,ab,10,10,13,11,12
OAG,bc,20,21,18,19,18
OAG,na,.,.,.,.,1
OAG,ncr,554,522,512,531,560
OAG,ns,9,9,10,9,9
OAG,onlessncr,.,1,.,1,.
OAG,qclessncr,17,17,17,16,17
OAG,sk,1,1,1,1,.
OCI,na,.,.,.,.,4
OCI,ncr,33,40,35,37,32
OCOL,ab,2,2,3,2,3
OCOL,bc,1,.,.,.,.
OCOL,mb,4,4,4,4,3
OCOL,na,.,.,.,.,3
OCOL,nb,5,5,6,6,4
OCOL,ncr,140,151,151,142,134
OCOL,onlessncr,5,4,3,3,3
OCOL,qclessncr,4,4,4,6,4
OCOL,sk,1,1,1,1,1
ODPP,ab,113,109,102,111,115
ODPP,bc,103,104,100,99,90
ODPP,nl,7,9,9,8,10
ODPP,mb,44,41,43,40,41
ODPP,na,.,.,.,1,17
ODPP,nb,8,8,8,10,9
ODPP,ncr,227,245,266,259,256
ODPP,ns,50,51,44,47,44
ODPP,nt,51,49,49,49,45
ODPP,nu,33,30,36,33,39
ODPP,onlessncr,171,177,176,175,180
ODPP,qclessncr,82,82,75,81,83
ODPP,sk,28,26,26,28,29
ODPP,yt,37,38,34,29,32
OICC,na,.,.,.,.,10
OICC,ncr,308,288,346,341,307
OICC,qclessncr,.,.,8,10,12
OPSIC,na,.,.,.,.,3
OPSIC,ncr,31,28,25,26,21
ORL,na,.,.,.,.,2
ORL,ncr,26,26,27,26,22
OSFI,bc,13,13,13,13,14
OSFI,na,.,.,.,1,1
OSFI,ncr,299,309,325,306,310
OSFI,onlessncr,311,346,344,328,345
OSFI,qclessncr,15,16,18,19,18
PCA,ab,578,631,674,735,716
PCA,bc,333,368,372,380,413
PCA,nl,97,113,113,136,139
PCA,mb,157,160,185,202,185
PCA,na,.,.,.,.,169
PCA,nb,64,74,73,96,101
PCA,ncr,468,484,509,595,580
PCA,ns,247,265,276,311,285
PCA,nt,56,55,63,77,78
PCA,nu,27,32,30,40,39
PCA,onlessncr,402,430,490,580,570
PCA,pe,36,46,45,66,72
PCA,qclessncr,320,353,385,452,431
PCA,sk,95,112,119,135,137
PCA,yt,43,52,60,81,61
PCC,bc,14,14,17,2,3
PCC,na,.,.,.,.,12
PCC,ncr,46,50,56,69,52
PCC,onlessncr,.,1,1,.,.
PCO,abroad,2,.,.,.,.
PCO,bc,.,.,.,.,6
PCO,na,.,.,.,9,44
PCO,ncr,751,751,728,703,749
PCO,qclessncr,1,.,.,.,.
PHAC,ab,36,34,35,34,34
PHAC,bc,43,50,49,47,41
PHAC,nl,6,4,3,6,4
PHAC,mb,475,491,509,489,482
PHAC,na,.,.,.,37,36
PHAC,nb,6,6,5,5,3
PHAC,ncr,1319,1280,1292,1302,1338
PHAC,ns,34,33,31,32,32
PHAC,nt,.,2,1,2,.
PHAC,nu,1,.,1,3,6
PHAC,onlessncr,156,176,170,167,163
PHAC,pe,2,1,1,1,2
PHAC,qclessncr,68,82,75,81,75
PHAC,sk,12,10,11,13,13
PHAC,yt,5,6,3,4,5
PMPRB,na,.,.,.,.,4
PMPRB,ncr,53,55,60,69,65
PSC,ab,6,.,.,.,.
PSC,bc,15,8,5,8,9
PSC,mb,5,2,.,.,.
PSC,na,.,.,.,3,12
PSC,ncr,747,661,664,639,695
PSC,ns,20,9,11,10,10
PSC,onlessncr,22,14,17,14,16
PSC,qclessncr,50,42,41,67,38
PSEP,ab,14,10,8,6,7
PSEP,abroad,3,2,2,.,.
PSEP,bc,16,13,16,19,18
PSEP,nl,4,4,3,2,5
PSEP,mb,13,10,10,11,9
PSEP,na,.,.,.,9,18
PSEP,nb,8,8,8,8,8
PSEP,ncr,977,940,869,1014,1024
PSEP,ns,26,24,23,23,15
PSEP,nt,6,3,2,1,1
PSEP,onlessncr,11,11,9,9,15
PSEP,pe,5,4,5,3,2
PSEP,qclessncr,20,19,16,14,19
PSEP,sk,8,8,7,6,8
PSEP,yt,1,1,.,.,.
PSSRB,ncr,96,91,.,.,.
PSST,ncr,32,31,.,.,.
RCMP,ab,545,558,592,632,665
RCMP,abroad,.,.,.,1,.
RCMP,bc,1150,1147,1236,1228,1260
RCMP,nl,161,161,175,188,186
RCMP,mb,328,341,353,363,360
RCMP,na,.,.,.,48,81
RCMP,nb,434,434,473,469,453
RCMP,ncr,1805,1868,1933,1966,2081
RCMP,ns,255,251,272,272,275
RCMP,nt,36,38,33,34,43
RCMP,nu,10,10,12,11,14
RCMP,onlessncr,273,251,272,255,257
RCMP,pe,32,31,41,38,37
RCMP,qclessncr,295,284,277,259,254
RCMP,sk,612,653,733,770,802
RCMP,yt,35,38,35,37,33
RPSDP,ncr,9,9,.,.,.
RSCT,ncr,10,9,.,.,.
SC,ab,283,314,281,424,328
SC,bc,121,112,114,226,116
SC,nl,28,26,35,51,29
SC,mb,237,274,227,278,271
SC,na,.,.,.,7,62
SC,nb,45,40,38,57,34
SC,ncr,4262,4515,4590,4704,4835
SC,ns,204,252,228,293,272
SC,nt,4,5,5,6,8
SC,nu,1,1,1,1,7
SC,onlessncr,545,543,594,734,576
SC,pe,23,20,23,23,18
SC,qclessncr,331,351,331,515,368
SC,sk,41,46,53,88,53
SC,yt,6,7,12,11,7
SCC,ncr,216,219,213,212,216
SHARE,ab,92,91,83,81,70
SHARE,bc,138,136,135,128,114
SHARE,nl,41,39,37,24,22
SHARE,mb,99,94,91,87,74
SHARE,na,.,.,.,39,26
SHARE,nb,168,163,155,141,137
SHARE,ncr,3889,4006,3884,3860,4044
SHARE,ns,96,101,99,98,91
SHARE,nt,3,3,3,3,2
SHARE,onlessncr,279,274,270,253,246
SHARE,pe,83,76,71,69,59
SHARE,qclessncr,387,384,385,353,351
SHARE,sk,24,27,23,21,21
SIRC,na,.,.,.,.,4
SIRC,ncr,15,16,18,20,18
SSHRC,na,.,.,.,.,1
SSHRC,ncr,199,205,209,210,210
SWC,ab,6,4,3,3,3
SWC,bc,.,1,1,1,.
SWC,na,.,.,.,.,6
SWC,nb,5,5,5,5,5
SWC,ncr,84,85,79,79,81
SWC,qclessncr,5,3,4,3,4
TBC,na,.,.,.,5,39
TBC,nb,1,.,.,.,.
TBC,ncr,1858,1778,1759,1721,1802
TBC,onlessncr,1,.,2,2,.
TC,ab,169,160,186,178,172
TC,abroad,2,2,2,3,.
TC,bc,471,462,520,527,494
TC,nl,94,94,93,90,93
TC,mb,229,238,262,277,241
TC,na,.,.,.,1,15
TC,nb,180,190,202,195,188
TC,ncr,2543,2537,2753,2732,2499
TC,ns,124,119,125,114,105
TC,nt,3,2,2,4,3
TC,onlessncr,450,435,477,451,434
TC,pe,7,7,7,6,8
TC,qclessncr,490,509,555,558,513
TC,sk,12,13,18,14,13
TC,yt,4,3,3,4,4
TRC,ab,2,2,1,.,.
TRC,bc,1,.,.,.,.
TRC,mb,15,10,6,.,.
TRC,ncr,5,2,1,.,.
TRC,nt,2,1,1,.,.
VAC,ab,77,67,69,71,82
VAC,abroad,17,19,19,16,26
VAC,bc,198,158,148,168,185
VAC,nl,28,26,25,30,43
VAC,mb,114,76,65,73,79
VAC,na,.,.,.,37,53
VAC,nb,63,57,56,63,73
VAC,ncr,186,163,170,188,221
VAC,ns,151,123,109,125,142
VAC,onlessncr,373,340,331,368,370
VAC,pe,1242,1112,1117,1169,1178
VAC,qclessncr,1132,1033,1056,1094,338
VAC,sk,21,14,9,11,19
VRAB,na,.,.,.,.,15
VRAB,pe,.,.,.,.,71
WDO,ab,132,119,120,126,125
WDO,bc,69,68,59,58,50
WDO,mb,47,44,36,34,32
WDO,na,.,.,.,.,3
WDO,ncr,46,43,39,36,28
WDO,sk,41,44,43,38,41
JJJ,ab,95,99,96,92,.
JJJ,bc,126,131,129,124,.
JJJ,nl,36,37,37,36,.
JJJ,mb,51,52,54,53,.
JJJ,na,.,.,.,.,1128
JJJ,nb,39,39,38,38,.
JJJ,ncr,110,108,118,127,.
JJJ,ns,49,54,59,60,.
JJJ,nt,4,4,4,4,.
JJJ,nu,6,6,6,5,.
JJJ,onlessncr,315,315,337,328,.
JJJ,pe,9,9,8,8,.
JJJ,qclessncr,212,206,206,213,.
JJJ,sk,46,48,50,51,.
JJJ,yt,2,2,2,2,.
ZGOC,ab,14758,14447,14428,14803,14914
ZGOC,abroad,1528,1516,1477,1450,1341
ZGOC,bc,23797,22801,22923,22824,22384
ZGOC,mb,10693,10326,10088,10019,10087
ZGOC,na,.,.,.,1541,6537
ZGOC,nb,7877,7899,8281,8328,8354
ZGOC,ncr,108433,107247,107288,107375,107969
ZGOC,nl,4792,4605,4711,4562,4783
ZGOC,ns,10807,10598,10549,10436,10100
ZGOC,nt,612,487,472,491,493
ZGOC,nu,282,285,286,281,285
ZGOC,onlessncr,38889,37746,37791,37906,37419
ZGOC,pe,3216,3119,3115,3135,3146
ZGOC,qclessncr,30683,29742,29374,29548,28723
ZGOC,sk,6072,5957,5884,5902,5814
ZGOC,yt,378,363,367,378,347
